Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Not So Stuffing' Quinoa Salad,1,Serving,310.16,484.93,139.81,15.29,17.03,69.96,9.43,0.25,7.07,0.01,0.32,43.43,15.67,1.7,8.11,4.96,0,0,165.54,7602.09,380.1,760.21,0,3733.98,0.28,0.63,7.3,10.44,0.49,0.08,0,55.48,2.51,0.08,1.8,118.33,118.33,48.68,2.12,150.91,0,0.93,0.04,0,5.4,159.38,1.84,3.38,457.22,967.74,25.35,770.6,5.26,0.6,4.29,2.31,0,55.98
    porcini mushrooms,0.18,Ounce-weight,5.1,18.06,1.76,0.2,1.57,2.51,0.82,0,0.11,0,0,1.57,0.2,0.02,0.1,0.08,0,0,0,0.51,0.03,0.05,0,0.31,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,1.37,0,0,0,0,1.06,0,0,0,0,0,0,1.96,0,0,0,0,0,0
    wild rice,1.90667,Ounce-weight,54.05,192.97,5.25,0.76,7.96,40.49,3.35,0,1.35,0,0,35.78,0.58,0.08,0.09,0.37,0,0,4.19,10.27,0.51,1.03,0,5.95,0.06,0.14,3.64,5.25,0.21,0,0,0,0,0,0.44,51.35,51.35,1.03,0.58,11.35,0,0.28,0,0,1.06,95.67,0.72,0,234.05,230.81,1.51,3.78,3.22,0.16,0.2,0,0,18.92
    quinoa,0.633333,Ounce-weight,17.95,66.07,9.81,1.14,2.54,11.52,1.26,0,0.47,0,0,0,1.09,0.13,0.29,0.59,0,0,2.38,2.51,0.13,0.25,0,1.44,0.06,0.06,0.27,0.77,0.09,0,0,0,0,0,0.44,33.04,33.04,0,0.14,8.44,0,0.11,0,0,0.82,35.37,0.37,0,82.05,101.08,1.53,0.9,0.56,0.06,0.54,0,0,12.6
    kale,1.36667,Ounce-weight,38.74,16.49,0,0,1.24,3.71,0.82,0,0,0,0,2.89,0,0,0,0,0,0,0,5976.52,298.83,597.65,0,3585.91,0,0,0,0,0,0,0,46.99,0,0,0,0,0,0,0,61.83,0,0,0,0,0.59,0,0,0,0,0,0,16.49,0,0,0,0,0,0
    olive oil ,0.186667,Fluid ounce,5.04,44.55,44.55,6.26,0,0,0,0,0,0,0,0,5.04,0.7,3.68,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,3.03,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.1,0,0.04,0.49,0,0,0.02
    shallots,0.653333,Ounce-weight,18.52,13.34,0.17,0.03,0.46,3.11,0.59,0,1.46,0,0,1.06,0.02,0,0,0.01,0,0,14.78,0.74,0.04,0.07,0,0.56,0.01,0,0.04,0.12,0.06,0,0,1.48,0,0,0.01,6.3,6.3,0.15,0.05,6.85,0,0.02,0,0,0.22,3.89,0.05,0.93,11.11,61.86,0.22,2.22,0.07,0,0.01,0,0,2.09
    garlic,0.033333,Ounce-weight,0.94,2.83,0.85,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    crimini mushrooms,2.94667,Ounce-weight,83.54,18.38,0.75,0.11,2.09,3.59,0.5,0,1.44,0,0,1.65,0.08,0.01,0,0.04,0,0,76.95,0,0,0,0,0,0.08,0.41,3.17,3.95,0.09,0.08,0,0,2.51,0.08,0.01,20.88,20.88,0,1.25,15.04,0,0.42,0,0,0.33,7.52,0.12,0,100.24,374.24,21.72,5.01,0.92,0,0.03,0,0,18.46
    celery,1.07333,Ounce-weight,30.43,4.15,0,0,0,1.11,0.55,0,0.55,0,0,0,0,0,0,0,0,0,29.09,138.31,6.92,13.83,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0,0,11.06,0,0,0,0,0.1,0,0,0,0,71.92,0,31.81,0,0,0,0,0,0
    carrots,0.62,Ounce-weight,17.58,6.76,0,0,0.23,1.58,0.45,0,1.13,0,0,0,0,0,0,0,0,0,15.6,1239.38,61.97,123.94,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,4.51,0,0,0,0,0.08,0,0,0,0,56.34,0,13.52,0,0,0,0,0,0
    white cooking wine,0.091667,Cup,21.56,18.11,0,0,0.02,0.47,0,0,0.21,0,0,0.26,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0.02,0.02,0.01,0,0,0,0,0,0,0.22,0.22,0,0.01,1.94,0,0,0.04,0,0.06,2.16,0.03,0,3.88,15.31,0.02,1.08,0.03,0,0,2.31,0,0
    thyme,0.02,Ounce-weight,0.57,1.56,0.38,0.14,0.05,0.36,0.21,0,0.01,0,0,0.14,0.04,0.02,0,0.01,0,0,0.04,21.55,1.08,2.15,0,12.84,0,0,0.03,0.05,0,0,0,0.28,0,0,0.04,1.55,1.55,9.72,0,10.72,0,0,0,0,0.7,1.25,0.04,0,1.14,4.62,0.03,0.31,0.04,0,0,0,0,0.25
    sage,0.053333,Ounce-weight,1.51,1.8,0.63,0,0.06,0.24,0,0,0,0,0,0,0.07,0,0,0,0,0,1,32.51,1.63,3.25,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,2.42,0.14,0,0.5,5.9,0,0.06,0.03,0,0,0,0,0
    parsley,0.073333,Ounce-weight,2.08,0.75,0.15,0.02,0.06,0.13,0.07,0,0.02,0,0,0.05,0.02,0,0.01,0,0,0,1.82,175.13,8.76,17.51,0,105.07,0,0,0.03,0.04,0,0,0,2.77,0,0,0.02,3.16,3.16,34.1,0.01,2.87,0,0,0,0,0.13,1.04,0,0,1.21,11.52,0,1.16,0.02,0,0,0,0,0.27
    pecans,0.293333,Ounce-weight,8.32,57.46,53.86,4.63,0.76,1.15,0.8,0.25,0.33,0.01,0.32,0.02,5.98,0.51,3.39,1.8,0,0,0.29,4.66,0.23,0.47,0,2.41,0.05,0.01,0.1,0.23,0.02,0,0,0.09,0,0,0.12,1.83,1.83,0.29,0.07,5.82,0,0.1,0,0,0.21,10.06,0.37,2.45,23.03,34.1,0.32,0,0.38,0.08,1.72,0,0,3.37
    walnut oil,0.18,Tablespoon,2.45,21.64,21.64,2,0,0,0,0,0,0,0,0,2.45,0.22,0.56,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.29,0,0,0.01
    sea salt,0.063,ounce-weight,1.7860185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.181,,,,,,
Total,1,Serving,310.16,484.93,139.81,15.29,17.03,69.96,9.43,0.25,7.07,0.01,0.32,43.43,15.67,1.7,8.11,4.96,0,0,165.54,7602.09,380.1,760.21,0,3733.98,0.28,0.63,7.3,10.44,0.49,0.08,0,55.48,2.51,0.08,1.8,118.33,118.33,48.68,2.12,150.91,0,0.93,0.04,0,5.4,159.38,1.84,3.38,457.22,967.74,25.35,770.6,5.26,0.6,4.29,2.31,0,55.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts Gratin,1,Serving,388.53,502.69,172.36,28.7,20.78,66.41,17.49,3.94,11.24,4.92,3.19,26.98,19.2,3.19,11,3.21,0,0,271.71,16579.56,828.98,1657.96,0,9920.26,1.87,1.48,9.02,11.65,1.53,2.09,2.72,97.76,6.63,0.15,1.65,208.38,208.38,270.15,1.97,198.88,0.11,0.76,0.03,0.57,7.34,124.4,1.4,11.4,332.91,1423.68,9.11,768,2.34,0.21,0.45,0,0,34.52
    brussels sprouts,2.9,Ounce-weight,82.21,35.35,2.22,0.46,2.78,7.36,3.12,1.64,1.81,1.43,0.38,2.43,0.25,0.05,0.02,0.13,0,0,70.7,619.89,30.99,61.99,0,369.96,0.11,0.07,0.61,1.12,0.18,0,0,69.88,0,0,0.72,50.15,50.15,145.52,0.25,34.53,0,0.06,0,0,1.15,18.91,0.28,4.11,56.73,319.81,1.32,20.55,0.35,0.08,0.04,0,0,15.7
    shiitake mushrooms,1.3,Ounce-weight,36.85,12.53,1.63,0,0.83,2.5,0.92,0,0.88,0.88,0,0.7,0.18,0,0,0,0,0,33.07,0,0,0,0,0,0.01,0.08,1.43,1.48,0.11,0,0,0,6.63,0.15,0,4.79,4.79,0,0.55,0.74,0,0.05,0,0,0.15,7.37,0.08,0,41.28,112.04,2.1,3.32,0.38,0,0,0,0,0
    sweet potatoes,3.54,Ounce-weight,100.36,86.31,0.45,0.16,1.58,20.19,3.01,0,4.19,1.67,2.53,12.99,0.05,0.02,0,0.01,0,0,77.56,14237.69,711.88,1423.77,0,8539.4,0.08,0.06,0.56,1.08,0.21,0,0,2.41,0,0,0.26,11.04,11.04,1.81,0.8,30.11,0,0.15,0,0,0.61,25.09,0.26,5.02,47.17,338.2,0.6,55.2,0.3,0,0.01,0,0,12.34
    kale,0.6,Ounce-weight,17.01,8.33,1.42,0.14,0.73,1.49,0.61,0.24,0.38,0,0,0.49,0.16,0.02,0.01,0.06,0,0,14.29,1699.27,84.96,169.93,0,1008.17,0.02,0.02,0.17,0.17,0.05,0,0.09,20.41,0,0,0.26,23.98,23.98,119.88,0.02,25.51,0,0.25,0,0,0.25,7.99,0.11,0.85,15.65,83.52,0.15,6.46,0.1,0.03,0.02,0,0,0.14
    garlic ,0.26,Ounce-weight,7.37,10.98,0.33,0.06,0.47,2.44,0.15,0,0.07,0,0,2.21,0.04,0.01,0,0.02,0,0,4.32,0.66,0.03,0.07,0,0.37,0.01,0.01,0.05,0.13,0.09,0,0,2.3,0,0,0.01,0.22,0.22,0.13,0.04,13.34,0,0.02,0,0,0.13,1.84,0.12,0,11.28,29.56,1.05,1.25,0.09,0,0.02,0,0,1.71
    white onion,1,Ounce-weight,28.35,11.34,0.26,0.11,0.31,2.65,0.48,0,1.2,0.92,0.28,0.96,0.03,0.01,0,0,0,0,25.26,0.57,0.03,0.06,0,0.28,0.01,0.01,0.03,0.1,0.03,0,0.99,2.1,0,0,0.01,5.39,5.39,0.11,0.03,6.52,0,0.01,0,0.57,0.06,2.83,0.04,1.42,8.22,41.39,0.14,1.13,0.05,0,0,0,0,1.73
    white beans,1,Ounce-weight,28.35,95.25,3.01,0.78,5.98,17.65,7.06,2.05,0,0,0,0,0.33,0.09,0.03,0.14,0,0,3.32,0,0,0,0,0,0.21,0.06,0.38,1.56,0.12,0,0,0,0,0,0,109.43,109.43,0,0.21,49.04,0,0.18,0,0,2.19,51.88,0.36,0,126.16,437.15,3.63,3.4,0.8,0.07,0.08,0,0,0
    Gluten free tamari,0.4,Tablespoon,7.2,4.32,0.06,0.01,0.76,0.4,0.06,0,0.12,0,0,0.22,0.01,0,0,0,0,0,4.75,0,0,0,0,0,0,0.01,0.28,0.5,0.01,0,0,0,0,0,0,1.3,1.3,0,0.03,1.44,0,0.01,0,0,0.17,2.88,0.04,0,9.36,15.26,0.06,402.19,0.03,0,0,0,0,2.76
    olive oil,0.1,Fluid ounce,2.7,23.87,23.87,3.36,0,0,0,0,0,0,0,0,2.7,0.37,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,1.63,0,0.03,0,0,0,0,0.02,0,0,0,0,0.03,0,0.05,0,0.02,0.26,0,0,0.01
    black pepper,0.02,Ounce-weight,0.57,1.42,0.17,0.07,0.06,0.36,0.14,0,0,0,0,0.22,0.02,0.01,0,0.01,0,0,0.07,3.1,0.16,0.31,0,1.76,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.1,0.1,0.93,0.01,2.51,0.09,0.01,0,0,0.06,0.97,0.07,0,0.9,7.54,0.03,0.11,0.01,0,0,0,0,0.06
    rosemary,0.02,Ounce-weight,0.57,1.88,0.78,0.38,0.03,0.36,0.24,0,0.01,0,0,0,0.09,0.04,0.02,0.01,0,0,0.05,17.74,0.89,1.77,0,0,0,0,0.01,0.01,0.01,0,0,0.35,0,0,0,1.74,1.74,0,0,7.26,0,0,0,0,0.17,1.25,0.01,0,0.4,5.41,0.03,0.28,0.02,0.01,0.01,0,0,0
    cashews,0.317439,Cup,35.55,203.16,137.13,22.86,6.35,10.16,1.27,0,2.54,0,0,6.35,15.24,2.54,8.89,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,2.29,0,0,0,0,0,0,6.35,0,0,0,0,0,0
    water,0.158719,Cup,37.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.03,0,0,0.38,0,0,0,0,0,1.5,0,0,0,0,0,0
    lemon juice,0.158719,Teaspoon,0.81,0.18,0.02,0,0,0.06,0,0,0.02,0.02,0,0.03,0,0,0,0,0,0,0.74,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0.31,0,0,0,0.16,0.16,0,0,0.05,0,0,0,0,0,0.05,0,0,0.06,0.83,0,0.01,0,0,0,0,0,0.04
    nutritional yeast,0.476158,Tablespoon,1.79,6.89,0.71,0.11,0.9,0.64,0.37,0,0,0,0,0.28,0.08,0.01,0.05,0,0,0,0,0,0,0,0,0,1.41,1.16,5.48,5.48,0.71,2.09,1.64,0,0,0,0,0,0,0,0.02,0.71,0,0,0,0,0.1,2.64,0.02,0,15.39,31.43,0,3.11,0.23,0,0,0,0,0
    black pepper,0.03968,Teaspoon,0.09,0.23,0.03,0.01,0.01,0.06,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0.5,0.02,0.05,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.15,0,0.4,0.01,0,0,0,0.01,0.16,0.01,0,0.14,1.21,0,0.02,0,0,0,0,0,0.01
    apple cider vinegar,0.07936,Teaspoon,0.4,0.19,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    nutmeg,0.03968,Teaspoon,0.09,0.46,0.29,0.2,0.01,0.04,0.02,0,0,0,0,0.02,0.03,0.02,0,0,0,0,0.01,0.09,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0.16,0,0,0,0,0,0.16,0,0,0.19,0.31,0,0.01,0,0,0,0,0,0.01
    sea salt,0.024,ounce-weight,0.680388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.688,,,,,,
Total,1,Serving,388.53,502.69,172.36,28.7,20.78,66.41,17.49,3.94,11.24,4.92,3.19,26.98,19.2,3.19,11,3.21,0,0,271.71,16579.56,828.98,1657.96,0,9920.26,1.87,1.48,9.02,11.65,1.53,2.09,2.72,97.76,6.63,0.15,1.65,208.38,208.38,270.15,1.97,198.88,0.11,0.76,0.03,0.57,7.34,124.4,1.4,11.4,332.91,1423.68,9.11,768,2.34,0.21,0.45,0,0,34.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toasted Pecans,1,Serving,14.17,100.64,94.75,8.02,1.35,1.92,1.33,0.32,0.58,0.01,0.57,0.01,10.53,0.89,6.23,2.92,0,0,0.16,19.84,0.99,1.98,0,11.91,0.06,0.02,0.17,0.39,0.03,0,0,0.1,0,0,0.18,2.27,2.27,0,0.1,10.21,0,0.17,0,0,0.4,18.71,0.56,4.18,41.53,60.1,0.57,0.14,0.72,0.14,2.78,0,0,0
    pecans,0.5,Ounce-weight,14.17,100.64,94.75,8.02,1.35,1.92,1.33,0.32,0.58,0.01,0.57,0.01,10.53,0.89,6.23,2.92,0,0,0.16,19.84,0.99,1.98,0,11.91,0.06,0.02,0.17,0.39,0.03,0,0,0.1,0,0,0.18,2.27,2.27,0,0.1,10.21,0,0.17,0,0,0.4,18.71,0.56,4.18,41.53,60.1,0.57,0.14,0.72,0.14,2.78,0,0,0
Total,1,Serving,14.17,100.64,94.75,8.02,1.35,1.92,1.33,0.32,0.58,0.01,0.57,0.01,10.53,0.89,6.23,2.92,0,0,0.16,19.84,0.99,1.98,0,11.91,0.06,0.02,0.17,0.39,0.03,0,0,0.1,0,0,0.18,2.27,2.27,0,0.1,10.21,0,0.17,0,0,0.4,18.71,0.56,4.18,41.53,60.1,0.57,0.14,0.72,0.14,2.78,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrito Bowl,1,Serving,224.05,344.73,166.24,30.8,22.96,27.34,5.62,0.02,4.08,1.17,0.83,11.36,18.63,3.42,9.08,4.78,0,0,112.39,2410.23,120.51,241.02,0,1252.77,0.21,0.4,3.54,7.27,0.42,0.07,0.82,38.25,0,0,2.54,111.67,111.67,128.46,0.65,154.47,0.15,0.66,0.01,0.18,4.84,120.41,1.58,1.59,325.07,753.12,4.5,728.8,1.62,0.33,4.45,0,0,24.15
    tempeh,0.18,Pound,81.65,156.76,79.36,18.66,16.57,6.24,0,0,0,0,0,0,8.82,2.07,2.62,3.51,0,0,48.7,0,0,0,0,0,0.06,0.29,2.16,4.8,0.18,0.07,0,0,0,0,0,19.6,19.6,0,0.23,90.63,0,0.46,0,0,2.2,66.13,1.06,0,217.18,336.38,0,7.35,0.93,0.2,3.31,0,0,0
