MEAL,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),,Course,Quantity,Measure,Wgt (g),,FatCals (kcal),SatCals (kcal),,Carb (g),TotFib (g),TotSolFib (g),,MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Rice Salad,518.99,15.84,20.78,73.38,9.61,7.68,,Lunch,1,Serving,238.13,,185.35,22.31,,73.38,9.61,0.78,,2.11,0.53,56.09,20.78,2.48,10.81,5.53,0,0,121.2,8916.39,445.82,891.64,0,3595.03,0.35,0.17,5.61,7.5,0.48,0,0.46,44.02,0,0,1.96,83.55,83.55,59.98,1.15,108.1,0.13,0.37,--,0.06,3.33,133.23,1.66,5.49,297.6,653.93,7.5,763,2.96,0.16,0.48,0,0,24.92
    wild rice,118.08,4.87,0.36,24.77,2.05,0.83,,,0.072917,Pound,33.07,,3.21,0.46,,24.77,2.05,--,,--,--,21.9,0.36,0.05,0.05,0.22,0,0,2.57,6.28,0.31,0.63,0,3.64,0.04,0.09,2.23,3.21,0.13,0,--,0,0,0,0.27,31.42,31.42,0.63,0.36,6.95,--,0.17,--,--,0.65,58.54,0.44,--,143.21,141.23,0.93,2.32,1.97,0.1,0.12,0,0,11.58
    butternut squash,36.68,0.82,0.08,9.53,1.63,1.79,,,2.875,Ounce-weight,81.5,,0.73,0.15,,9.53,1.63,--,,1.61,0.18,6.1,0.08,0.02,0.01,0.03,0,0,70.43,8663.97,433.2,866.4,0,3444.4,0.08,0.02,0.98,1.17,0.13,0,--,17.12,0,0,1.17,22.01,22.01,0.9,0.33,39.12,--,0.06,--,--,0.57,27.71,0.16,4.08,26.9,286.9,0.41,3.26,0.12,0.02,0.01,0,0,--
    pistachios,184.08,6.5,15.16,8.66,3.25,2.17,,,1.14583,Ounce-weight,32.48,,136.43,14.62,,8.66,3.25,--,,--,--,3.25,15.16,1.62,7.58,4.33,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,1.3,--,--,--,--,--,--,--,43.31,--,--,--,--,1.17,--,--,--,--,--,--,10.83,--,--,--,0,0,--
    pomegranate,6.86,0.14,0.1,1.55,0.33,1.13,,,0.291667,Ounce-weight,8.27,,0.87,0.09,,1.55,0.33,0.07,,--,--,0.09,0.1,0.01,0.01,0.01,0,0,6.44,0,0,0,0,0,0.01,0,0.02,0.02,0.01,0,--,0.84,0,0,0.05,3.14,3.14,1.36,0.03,0.83,--,0.01,--,--,0.02,0.99,0.01,--,2.98,19.51,0.04,0.25,0.03,0,0.01,0,0,0.63
    scallions,1.04,0.06,0.01,0.24,0.08,0.08,,,0.114583,Ounce-weight,3.25,,0.06,0.01,,0.24,0.08,0.03,,--,--,0.08,0.01,0,0,0,0,0,2.92,32.39,1.62,3.24,0,19.43,0,0,0.02,0.03,0,0,0.11,0.61,0,0,0.02,2.08,2.08,6.72,0,2.34,--,0,--,0.06,0.05,0.65,0.01,--,1.2,8.97,0.02,0.52,0.01,0,0,0,0,0.19
    red wine vinegar,2.12,0,0,0.03,0,0,,,0.046875,Cup,11.17,,0,0,,0.03,0,0,,0,0,0.03,0,0,0,0,0,--,10.56,0,0,0,--,--,--,--,--,--,--,--,--,0.06,--,--,--,--,--,--,--,0.67,--,0,--,--,0.05,0.45,0.01,--,0.89,4.36,--,0.89,0,0,0,0,0,--
    olive oil,33.75,0,3.94,0,0,0,,,0.28125,Tablespoon,3.94,,33.75,5.06,,0,0,0,,0,0,0,3.94,0.56,2.81,0.56,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,0,0,0,--,--,0,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,0,--
    date sugar,2.81,0,0,0.84,0,0.84,,,0.09375,Tablespoon,1.13,,0,0,,0.84,0,0,,--,--,0,0,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,0,--
