,Breakfast,,,,,,,,,,,,,,,,,
>51% Raw,Strawberry Coconut Chia Seed Pudding,GF oats,flax seed,chia seed,coconut,cinnamon,strawberry,date,goji berry,stevia,vanilla,,,,,,,
,,1 tbsp,1 tbsp,2 tbsp,1 tbsp,1/2 tsp,1/4 cup,1 tbsp,1 tsp,,1/8 tsp,drop,,,,,,
>51% Raw,Wild Blueberry Super-food Oats,GF oats,flax seed,chia seed,goji berry,cinnamon,blueberry,coconut milk,date,cashew,vanilla,stevia,,,,,,
,,1/2 cup,1 tbsp,1 tsp,1 tbsp,1/2 tsp,1/4 cup,1/2 cup,1 tbsp,1 tsp,1/8 tsp,drop,,,,,,
>51% Raw,Chocolate Covered Strawberry Super-food Oats,GF oats,flax seed,chia seed,goji berry,cinnamon,strawberrt,coconut milk,date,cashew,raw cocoa powder,raw maca powder,vanilla,stevia,,,,
,,1/2 cup,1 tbsp,1 tsp,1 tbsp,1/2 tsp,1/4 cup,1/2 cup,1 tbsp,1 tsp,1 tbsp,,1/8 tsp,drop,,,,
<51% Raw,"Sunny Side Up ""Egg"" & Toast (Tofu)",tofu,tapicoa,nutritional yeast,teff,tapioca,sorghum,parsley,garlic powder,onion powder,black salt,himalayan sea salt,date,tomato,raw apple cider vinegar,,,
,,1 cup,1 tsp,2 tsp,1/4 cup,1 tsp,1 tsp,1 tsp,1/4 tsp,1/4 tsp,1/8 tsp,1/8 tsp,1 tsp,1 tsp,1/8 tsp,,,
<51% Raw,Peachy Banana Crepes,gf oats,tapicoa,banana,peach,date,vanilla,cinnamon,stevia,lemon essential oil,,,,,,,,
,,1/2 cup,1 tbsp,2 tbsp,2 tbsp,1 tbsp,1/8 tsp,1/8 tsp,drop,,,,,,,,,
,Lunch,,,,,,,,,,,,,,,,,
>51% Raw,Yaki Soba Slaw Salad,green cabbage,purple cabbage,carrot,potato,cauliflower,tahini,raw apple cider vinegar,sage,thyme,garlic powder,onion powder,black pepper,himalayan sea salt,himalayan sea salt,,,
Same as week before's french slaw salad,,2 cup,1 cup,1 tbsp,1 tbsp,1 tbsp,2 tsp,1 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,,,
>51% Raw,Curried Rice Slaw Salad,green cabbage,purple cabbage,olive,quinoa,tahini,apple cider viengar,basil,garlic,thyme,oregano,rosemary,date,cucumber,black pepper,himalayan sea salt,,
Same as week before's potato ranch salad (actually switched with one above...),,2 cup,1 cup,1 tbsp,1/2 cup,2 tsp,1tsp,1/8 tsp,1/2 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1 tsp,1/4 cup,1/8 tsp,1/8 tsp,,
>51% Raw,Apricot Pear Slaw Salad,green cabbage,purple cabbage,apricot,pear,tahini,balsamic vinegar,lemon oil,sprouted peacan,date,himalayan sea salt,,,,,,,
,,2 cup,1 cup,1 tbsp,2 tbsp,2 tsp,1tsp,,1 tbsp,1/2 tsp,1/8 tsp,,,,,,,
,Dinner,,,,,,,,,,,,,,,,,
<51% Raw,Creamy Chickpea Vegetable Dumpling Soup,vegetable broth,garbanzo bean,kale,broccoli,carrot,teff,onion,garlic powder,onion powder,oregano,sage,gf oat,himalayan sea salt,thyme,tapioca,nutritional yeast,corn
,,1 cup,2 tbsp,1 tbsp,2 tbsp,1 tbsp,2 tbsp,1 tbsp,1/2 tsp,1/2 tsp,1/8 tsp,1/8 tsp,4 tsp,1/8 tsp,1/8 tsp,1 tsp,1 tsp,2 tsp
<51% Raw,Ancient Grain Greek Bowl,quinoa,amaranth,rice,kale,red onion,adzuki bean,tahini,parsley,garlic,himalayan sea salt,onion powder,oregano,green olive,black olive,,,
,,1/2 cup,1 tbsp,1/2 cup,2 tbsp,1/2 tsp,1 tbsp,1 tsp,1 tsp,1 tsp,1/8 tsp,1/8 tsp,1/8 tsp,2 tsp,2 tsp,,,
<51% Raw,Thai Green Vegetable Curry,brown rice,coconut milk,carrot,zuchini,onion,bell pepper,kale,garlic powder,himalayan sea salt,green chili,garlic,lemongrass,thai ginger,shallot,kaffir lime,red chili,
,,1 cup,1 cup,1 tbsp,1 tbsp,1 tbsp,1 tbsp,1 tbsp,1/2 tsp,1/8 tsp,1 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,1/8 tsp,,
