,,General Features,,,,,,,Spices and Vitamins,,,,,,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,Fruits,,,,Low Priority (shouldn't be in diet in general),,,,Supplements,,,
,,Acidic (sour),Bland,Colorful,Odorous,Salt,Soft ,Spicy,Ginger,Garlic,Omega3,Potassium,Turmeric (Curcumin),Vitamin K,Asparagus,Artichokes,Avocado,Beans/Legumes (ex lentils),Beets,Broccoli,Brussel Sprouts,Cabbage,Carrots,Cauliflower,Celery,Coconut Oil,Egg,Fiber,Honey,"Nuts, nut butter","Oil, butter",Onions,Peppers,Potatoes,"Salad Greens (Spinach, Kale, Parsley)",Soy,Tomato,Turnips,Bananas,Berries,Grapefruit,Oranges,Cheese,Dairy,Fish,Refined Sugar,Green Tea,Probiotic,Zinc Sulfate,Curcumin
Cancers,Brain ,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???,,,,,,,,,,,,,,
,Colon,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,
,head &  neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leukemia,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pancreas,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,
,Prostate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Testicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comorbitities,CVD,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,,,
,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,
,Hypertension,,,,,A,,,,,,P,P,,,P,,,P,,,P,P,,P,,,,,,,,,,P,,,P,,,,,,,,,A,,,
Symptoms,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,P,,
,Cough,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,
,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,P,,,,,P,,,,,,,,,P,,
,Difficulty chewing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Difficulty to swallow,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry mouth ,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry skin,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fatigue,,,,,,,,,,P,,,,,,P,,,P,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,
,Inflammation,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of or change of taste,,A,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
,Mouth & throat sore,A,P,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nausea,,,,A,,,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sleeping problems ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stomach Acidity,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,A,,,,,,,,,,,,,
,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weight loss,,,,,,,,,,P,,,,,,P,P,,,,,,,,,P,,,,P,,,,,,,,,,,,P,P,,,,,,
Treatment Drugs,"Gemcitabin, Cisplatin, Docetaxel, Mephalan, Vincristin, 5-FU, Paclitaxel, Etoposide, Mitoxantrone, Topotecan, Irinotecan.",,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
,"Ciclofosfamide, Camptotecina, Mecloretamina, Doxurubicine.",,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Doxurubicine, Tamoxifene, Cisplatin, Paclitaxel, Gemcitabin, 5-FU, Mitomicin C, Erlotinib, Bortezomib.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,
,Breast Cancer with paclitaxel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Medications,ACE Inhibitors,,,,,,,,,,,,P,A,,,,A?,,A,A,A,,A?,,,,,,,,,,,A,A,,,A,,,A,,,,,A,,,
,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,
,Diuretics (via hyperkalemia),,,,,,,,,,,,,,,,,,,A,A,A,,,,,,,,,,,,,A,,,,A,,,A,,,,,,,,
,"Vitamin K anticoagulants (Warfarin, Coumadin)",,,,,,,,A,A,,,P,A,moderate,,,A?,,moderate,moderate,moderate,,moderate,,,,,,,,,,,moderate,moderate,,P,,,,,,,,,A,,,
,Oxazolidinone Antibacterials ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,
,Statins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,
