,,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RDI 4,700 mg",RDI 25-38g,,Adequate intake (not RDI) 90-120 mcg,RDI 2400 mg,,,,,,,,,,,,,,,,,,,,
,,Asparagus,Artichokes,Avocado,Beans,Beets,Broccoli,Brussels Sprouts,Cabbage,Carrot,Cauliflower,Celery,Coconut Oil,Egg,Flax,Garlic,Green Beans,Ginger,Honey,Kale,Lentil,nuts,nut butter,Oil,Butter,Onion,Parsley,"Peppers, Bell","Peppers, Hot",Potato,Sweet Potato,Spicy Powders,Spinach,Radish,Zucchini,Butternut,Acorn,Delicata,Soy,Tomato,Turmeric,Curcumin,Turnips,Walnut,Potassium,Total Fiber,Insoluble Fiber,Vitamin K,Sodium,High Calorie Content,Mushroom,Shiitake mushroom,Milk,Fish,Black rockfish,Mackerel,Saury fish,Seaweed,Chicken,Burdock,Chinese chive,Pork loin,Ground pork,beef,Komatsuna,okra,Pak choi,Tatsutaage of horse mackerel,Tatsutaage of yellowtail
Cancers,Brain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,,A,A
,Breast,,,,,,P,P,P,,P,,,,P,,,,,P,,,,,,P,P,,,,,,P,P,,,,,,,,,P,,,,,,,,P,P,,,,,,P,,P,P,A,A,A,P,P,P,A,A
,Colon,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,,P,P,P,,,,,P,,,P,A,A,A,,,,A,A
,Gastric,,,,,,P,P,P,,P,,,,,P,,,,P,,,,,,,P,,,,,,P,P,,,,,,,,,P,,,,,,,,P,P,,,,,,,,,,A,A,A,P,,P,A,A
,head &  neck,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,,A,A
,Leukemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,,,,,A,A,A,,,,A,A
,Lung,,,,,,P,P,P,,P,,,,,,,,,P,,,,,,,P,,,,,,P,P,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,A,A,A,P,,P,A,A
,pancreas,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,,A,A
,Prostate,,,,,,,,,,,,,A,P,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,P,P,A,,,,,,,,,A,A,A,,,,A,A
,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,A,A,A,,,,A,A
,Testicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,,A,A
