,,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RDI 4,700 mg",RDI 25-38g,,,RDI 2400 mg,,,
,,Asparagus,Artichokes,Avocado,Beans,Beets,Broccoli,Brussels Sprouts,Cabbage,Carrot,Cauliflower,Celery,Coconut Oil,Egg,Flax,Garlic,Green Beans,Ginger,Honey,Kale,Lentil,nuts,nut butter,Oil,Butter,Onion,Parsley,"Peppers, Bell","Peppers, Hot",Potato,Spicy Powders,Spinach,Zucchini,Butternut,Acorn,Delicata,Soy,Tomato,Turmeric,Curcumin,Turnips,Walnut,Potassium,Total Fiber,Insoluble Fiber,Vitamin K,Sodium,High Calorie Content,Raw,Soup
Cancers,Brain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Breast,,,,,,P,P,P,,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,,,
,Colon,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P,,,,,
,Gastric,,,,,,P,P,P,,P,,,,,P,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,,,
,head &  neck,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leukemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lung,,,,,,P,P,P,,P,,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,,,P,,,,,,,,,
,pancreas,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prostate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Testicular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comorbitities,CVD (depends on drug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,P,,,P,500|1000,,,
,Diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypertension,,P,,,P,,,P,P,,P,,,,,,,,P,,,,,,,P,,,,,P,,,,,,,P,P,P,,P,,,,500|1000,,,
Symptoms,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,
,Cough,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,
,Diarrhea,P,,,,,,,,P,,,,,,,P,P,,,,,,,,,,,,P,,,P,,,,,,,,,,,5|7,3|5,,,,A,
,Difficulty chewing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Difficulty to swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry mouth ,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P
,Dry skin,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,
,Fatigue,,,P,,,P,,,,,,,,,,,,,P,,,,,,,P,P,,,,P,P,,,,,P,,,,,,,,,,,,
,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,A
,Loss of or change of taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouth & throat sore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60|120,,,,,,,,,,,A,P
,Nausea,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sleeping problems ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stomach Acidity,,,,,,,,,,,,,,,4|8,,,,,,,,,,30|60,,,5|5,,1|2,,,,,,,60|120,,,,,,,,,,,,
,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,
,Weight loss,,,P,P,,,,,,,,,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,P,,
Chemo Drugs,Docetaxel (Taxotere),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,
,Carboplatin (Paraplatin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,
,Trastuzumab (Herceptin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pertuzumab (Perjeta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications,Olanzapine (Zyprexa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prochlorperazine (Compazine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ondanstetron (Zofran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ioperamide (Imodium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5|7,3|5,,,,,
