Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry Choco-Latte,1 bag,210.9 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Dates, deglet noor",15,7.20%,42.3,0.1,0,0,0,0,0,0.3,11.3,1.2,1.2,9.5,0,0,0.4,0.00%,2,0.10%,0.1,0.60%,6,0.90%,0.15,0.00%,0,2.80%,98,0.00%,0,0.50%,0.4,0.50%,0.008,0.60%,0.01,1.00%,0.2,1.20%,0.025,0.70%,3,0.00%,0,0.90%,0.09,0.90%,9,1.60%,6,0.30%,0.04,0.60%,0.5,1.50%,0.031,2.00%,0.039
Organic Raw Cacao Powder,1.2,0.60%,4.9,0.1,0.1,0,0,0.1,0,0.8,0.7,0.3,0.3,0,0,0,0.2,0.00%,0,0.00%,0,0.20%,2,0.70%,0.12,0.00%,0,0.50%,18,0.00%,0,0.00%,0,0.10%,0.001,0.10%,0.002,0.10%,0,0.10%,0.001,0.10%,0,0.00%,0,0.00%,0,0.90%,9,1.50%,6,0.50%,0.08,0.20%,0.2,2.20%,0.044,2.20%,0.044
Himalayan Pink Sea Salt,0.2,0.10%,0,0,0,0,0,0,0,71.3,0,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Espresso Powder,1.2,0.60%,4.1,0,0,0,0,0,0,0.4,0.9,0,0,0,0,0,0.1,0.00%,0,0.00%,0,0.20%,2,0.30%,0.05,0.00%,0,1.20%,41,0.00%,0,0.00%,0,0.00%,0,0.10%,0.001,1.60%,0.3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.40%,4,1.00%,4,0.00%,0,0.20%,0.1,0.10%,0.002,1.00%,0.02
"Blueberries, frozen, unsweetened",30.6,14.70%,15.6,0.2,0,0,0.1,0,0,0.3,3.7,0.8,0.8,2.6,0,0,0.1,0.30%,14,1.30%,0.8,0.20%,2,0.30%,0.06,0.00%,0,0.50%,17,0.70%,0.1,6.30%,5,0.70%,0.01,0.70%,0.011,0.80%,0.2,0.90%,0.018,0.50%,2,0.00%,0,0.40%,0.04,0.30%,3,0.40%,2,0.10%,0.02,0.00%,0,0.50%,0.01,2.30%,0.045
"Raspberries, frozen, unsweetened",30.6,14.70%,15.9,0.2,0,0,0.1,0,0,0.3,3.7,2,2,1.4,0,0,0.4,0.20%,10,13.40%,8,0.80%,8,1.20%,0.21,0.00%,0,1.30%,46,1.30%,0.3,3.00%,2.4,0.70%,0.01,0.70%,0.012,0.90%,0.2,0.80%,0.017,1.60%,6,0.00%,0,1.00%,0.1,0.90%,9,1.70%,7,0.90%,0.13,0.10%,0.1,1.40%,0.028,10.30%,0.205
"Blackberries, frozen, unsweetened",30.6,14.70%,19.6,0.1,0,0,0.1,0,0,0.3,4.8,1.5,1.5,3.3,0,0,0.4,0.70%,35,1.60%,0.9,0.90%,9,1.40%,0.24,0.00%,0,1.20%,43,1.80%,0.4,7.60%,6.1,0.60%,0.009,0.80%,0.014,1.80%,0.4,0.90%,0.019,2.60%,10,0.00%,0,0.50%,0.05,0.90%,9,1.70%,7,0.50%,0.08,0.20%,0.1,1.80%,0.037,18.70%,0.374
"Kale, raw",42.5,20.40%,20.8,0.4,0,0,0.1,0,0,16.2,3.7,1.5,1.5,1,0,0,1.8,85.00%,4248,85.10%,51,6.40%,64,3.50%,0.63,0.00%,0,6.00%,209,3.30%,0.7,374.60%,299.7,3.10%,0.047,3.30%,0.055,2.10%,0.4,5.80%,0.115,15.00%,60,0.00%,0,0.40%,0.04,3.90%,39,5.00%,20,1.60%,0.24,0.50%,0.4,31.90%,0.637,14.00%,0.28
"Bananas, raw",42.5,20.40%,37.8,0.1,0,0,0,0,0,0.4,9.7,1.1,1.1,5.2,0,0,0.5,0.50%,27,6.20%,3.7,0.20%,2,0.60%,0.11,0.00%,0,4.30%,152,0.20%,0,0.30%,0.2,0.90%,0.013,1.80%,0.031,1.40%,0.3,7.80%,0.156,2.10%,9,0.00%,0,1.40%,0.14,0.90%,9,2.90%,11,0.40%,0.06,0.60%,0.4,1.70%,0.033,5.70%,0.115
"Avocados, raw, all commercial varieties",14.2,6.80%,22.7,2.1,0.3,0,0.3,1.4,0,1,1.2,0.9,0.9,0.1,0,0,0.3,0.40%,21,2.40%,1.4,0.20%,2,0.40%,0.08,0.00%,0,2.00%,69,1.50%,0.3,3.70%,3,0.60%,0.009,1.10%,0.018,1.20%,0.2,1.80%,0.036,2.90%,11,0.00%,0,2.00%,0.2,0.70%,7,1.00%,4,0.60%,0.09,0.10%,0.1,1.30%,0.027,1.00%,0.02
