Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry-Nana-Rama,1 bag,207.7 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
FROZEN - Kale,42.5,20.50%,20.8,0.4,0,0,0.1,0,0,16.2,3.7,1.5,1.5,1,0,0,1.8,85.00%,4248,85.10%,51,6.40%,64,3.50%,0.63,0.00%,0,6.00%,209,3.30%,0.7,374.60%,299.7,3.10%,0.047,3.30%,0.055,2.10%,0.4,5.80%,0.115,15.00%,60,0.00%,0,0.40%,0.04,3.90%,39,5.00%,20,1.60%,0.24,0.50%,0.4,31.90%,0.637,14.00%,0.28
"Strawberries, frozen, unsweetened",78,37.50%,27.3,0.1,0,0,0,0,0,1.6,7.1,1.6,1.6,3.6,0,0,0.3,0.70%,35,53.50%,32.1,1.20%,12,3.20%,0.58,0.00%,0,3.30%,115,1.10%,0.2,2.10%,1.7,1.10%,0.017,1.70%,0.029,1.80%,0.4,1.10%,0.022,3.30%,13,0.00%,0,0.80%,0.08,1.00%,10,2.10%,9,0.70%,0.1,0.80%,0.5,1.90%,0.038,11.30%,0.226
"Bananas, raw",42.5,20.50%,37.8,0.1,0,0,0,0,0,0.4,9.7,1.1,1.1,5.2,0,0,0.5,0.50%,27,6.20%,3.7,0.20%,2,0.60%,0.11,0.00%,0,4.30%,152,0.20%,0,0.30%,0.2,0.90%,0.013,1.80%,0.031,1.40%,0.3,7.80%,0.156,2.10%,9,0.00%,0,1.40%,0.14,0.90%,9,2.90%,11,0.40%,0.06,0.60%,0.4,1.70%,0.033,5.70%,0.115
"Figs, dried, uncooked",25,12.00%,62.3,0.2,0,0,0.1,0,0,2.5,16,2.5,2.5,12,0,0,0.8,0.10%,3,0.50%,0.3,4.10%,41,2.80%,0.51,0.00%,0,4.90%,170,0.40%,0.1,4.90%,3.9,1.40%,0.021,1.20%,0.021,0.80%,0.2,1.30%,0.027,0.60%,2,0.00%,0,1.10%,0.11,1.70%,17,4.30%,17,0.90%,0.14,0.20%,0.2,3.60%,0.072,6.40%,0.128
"Spices, rosemary, dried",0.2,0.10%,0.5,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.10%,5,0.20%,0.1,0.20%,2,0.20%,0.04,0.00%,0,0.00%,1,-,-,-,-,0.10%,0.001,0.00%,0.001,0.00%,0,0.10%,0.003,0.10%,0,0.00%,0,-,-,0.00%,0,0.10%,0,0.00%,0,0.00%,0,0.00%,0.001,0.10%,0.003
"Kiwifruit, green, raw",14.2,6.80%,8.6,0.1,0,0,0,0,0,0.4,2.1,0.4,0.4,1.3,0,0,0.2,0.20%,12,21.90%,13.1,0.50%,5,0.20%,0.04,0.00%,0,1.30%,44,1.00%,0.2,7.10%,5.7,0.30%,0.004,0.20%,0.004,0.20%,0,0.40%,0.009,0.90%,4,0.00%,0,0.30%,0.03,0.50%,5,0.60%,2,0.10%,0.02,0.00%,0,0.90%,0.018,0.70%,0.014
"Seeds, flaxseed",3.4,1.60%,18.2,1.4,0.1,0,1,0.3,0,1,1,0.9,0.9,0.1,0,0,0.6,0.00%,0,0.00%,0,0.90%,9,1.10%,0.19,0.00%,0,0.80%,28,0.10%,0,0.20%,0.1,3.70%,0.056,0.30%,0.005,0.50%,0.1,0.80%,0.016,0.70%,3,0.00%,0,0.30%,0.03,2.20%,22,3.30%,13,1.00%,0.15,1.20%,0.9,2.10%,0.041,4.20%,0.084
"Orange peel, raw",2,1.00%,1.9,0,0,0,0,0,0,0.1,0.5,0.2,0.2,0.2,0,0,0,0.20%,8,4.50%,2.7,0.30%,3,0.10%,0.02,-,-,0.10%,4,0.00%,0,-,-,0.20%,0.002,0.10%,0.002,0.10%,0,0.20%,0.004,0.20%,1,0.00%,0,0.10%,0.01,0.00%,0,0.10%,0,0.00%,0.01,0.00%,0,0.10%,0.002,-,-
Totals (per serving),207.7,100%,177,2.4,0.3,0,1.3,0.4,0,22.2,40.2,8.4,8.4,23.2,0,0,4.3,86.80%,4338,171.90%,103.1,13.80%,138,11.80%,2.13,0.00%,0,20.70%,724,6.20%,1.2,389.30%,311.4,10.80%,0.161,8.70%,0.147,7.00%,1.4,17.50%,0.351,22.90%,92,0.00%,0,4.40%,0.44,10.30%,103,18.40%,74,4.80%,0.72,3.50%,2.4,42.20%,0.843,42.50%,0.85
Totals/100 grams***,-,-,85,1.1,0.1,0,0.6,0.2,0,10.7,19.3,4,4,11.2,0,0,2.1,41.80%,2088,82.70%,49.6,6.60%,66,5.70%,1.02,0.00%,0,10.00%,348,3.00%,0.6,187.40%,149.9,5.20%,0.078,4.20%,0.071,3.40%,0.7,8.40%,0.169,11.00%,44,0.00%,0,2.10%,0.21,4.90%,49,8.90%,35,2.30%,0.35,1.70%,1.2,20.30%,0.406,20.50%,0.409
