Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Protein,1 bag,209.4 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Kale, frozen, unprepared",42.5,20.30%,11.9,0.2,0,0,0.1,0,0,6.4,2.1,0.9,0.9,0.5,0,0,1.1,53.20%,2659,27.90%,16.7,5.80%,58,2.20%,0.4,0.00%,0,4.00%,142,-,-,-,-,1.60%,0.024,2.80%,0.048,1.50%,0.3,1.90%,0.038,1.80%,7,0.00%,0,0.20%,0.02,1.20%,12,1.90%,8,0.50%,0.08,0.50%,0.4,1.00%,0.02,9.40%,0.188
"Dates, deglet noor",15,7.20%,42.3,0.1,0,0,0,0,0,0.3,11.3,1.2,1.2,9.5,0,0,0.4,0.00%,2,0.10%,0.1,0.60%,6,0.90%,0.15,0.00%,0,2.80%,98,0.00%,0,0.50%,0.4,0.50%,0.008,0.60%,0.01,1.00%,0.2,1.20%,0.025,0.70%,3,0.00%,0,0.90%,0.09,0.90%,9,1.60%,6,0.30%,0.04,0.60%,0.5,1.50%,0.031,2.00%,0.039
"Bananas, raw",28.4,13.50%,25.2,0.1,0,0,0,0,0,0.3,6.5,0.7,0.7,3.5,0,0,0.3,0.40%,18,4.10%,2.5,0.10%,1,0.40%,0.07,0.00%,0,2.90%,101,0.10%,0,0.20%,0.1,0.60%,0.009,1.20%,0.021,0.90%,0.2,5.20%,0.104,1.40%,6,0.00%,0,0.90%,0.09,0.60%,6,1.90%,8,0.30%,0.04,0.40%,0.3,1.10%,0.022,3.80%,0.077
"Apples, raw, with skin",28.4,13.50%,14.7,0,0,0,0,0,0,0.3,3.9,0.7,0.7,2.9,0,0,0.1,0.30%,15,2.20%,1.3,0.20%,2,0.20%,0.03,0.00%,0,0.90%,30,0.30%,0.1,0.80%,0.6,0.30%,0.005,0.40%,0.007,0.10%,0,0.60%,0.012,0.20%,1,0.00%,0,0.20%,0.02,0.30%,3,0.40%,1,0.10%,0.01,0.00%,0,0.40%,0.008,0.50%,0.01
"Pineapple, raw, all varieties",28.4,13.50%,14.2,0,0,0,0,0,0,0.3,3.7,0.4,0.4,2.8,0,0,0.2,0.30%,16,22.60%,13.6,0.40%,4,0.50%,0.08,0.00%,0,0.90%,31,0.00%,0,0.20%,0.2,1.50%,0.022,0.50%,0.009,0.70%,0.1,1.60%,0.032,1.30%,5,0.00%,0,0.60%,0.06,0.20%,2,0.90%,3,0.20%,0.03,0.00%,0,1.60%,0.031,13.10%,0.263
"Mangos, raw",21.3,10.20%,12.8,0.1,0,0,0,0,0,0.2,3.2,0.3,0.3,2.9,0,0,0.2,4.60%,230,12.90%,7.7,0.20%,2,0.20%,0.03,0.00%,0,1.00%,36,1.00%,0.2,1.10%,0.9,0.40%,0.006,0.50%,0.008,0.70%,0.1,1.30%,0.025,2.30%,9,0.00%,0,0.40%,0.04,0.30%,3,0.50%,2,0.10%,0.02,0.20%,0.1,1.20%,0.024,0.70%,0.013
"Beans, white, mature seeds, cooked, boiled, without salt",14.2,6.80%,19.7,0,0,0,0,0,0,0.9,3.6,0.9,0.9,0,0,0,1.4,0.00%,0,0.00%,0,1.30%,13,2.90%,0.52,0.00%,0,2.30%,80,0.70%,0.1,0.60%,0.5,1.10%,0.017,0.40%,0.007,0.10%,0,0.70%,0.013,2.90%,11,0.00%,0,0.30%,0.03,1.60%,16,2.20%,9,1.30%,0.2,0.30%,0.2,2.00%,0.041,4.50%,0.09
"Seeds, Hemp, raw, shelled",10,4.80%,56.7,4.3,0.5,0,3.3,0.5,0,0,1,0.9,0.9,0.1,0,0,3.3,0.00%,0,0.00%,0,0.70%,7,6.70%,1.2,0.00%,0,3.40%,120,0.00%,0,0.00%,0,8.30%,0.125,2.00%,0.034,0.00%,0,2.70%,0.053,2.70%,11,0.00%,0,0.00%,0,15.00%,150,15.00%,60,6.70%,1,0.00%,0,0.00%,0,36.70%,0.733
"Seeds, flaxseed",2.5,1.20%,13.4,1.1,0.1,0,0.7,0.2,0,0.8,0.7,0.7,0.7,0,0,0,0.5,0.00%,0,0.00%,0,0.60%,6,0.80%,0.14,0.00%,0,0.60%,20,0.00%,0,0.10%,0.1,2.70%,0.041,0.20%,0.004,0.40%,0.1,0.60%,0.012,0.50%,2,0.00%,0,0.20%,0.02,1.60%,16,2.50%,10,0.70%,0.11,0.90%,0.6,1.50%,0.031,3.10%,0.062
"Spices, coriander leaf, dried",0.6,0.30%,1.7,0,0,0,0,0,0,1.3,0.3,0.1,0.1,0,0,0,0.1,0.70%,35,5.70%,3.4,0.70%,7,1.40%,0.25,0.00%,0,0.80%,27,0.00%,0,10.20%,8.2,0.50%,0.008,0.50%,0.009,0.30%,0.1,0.20%,0.004,0.40%,2,0.00%,0,-,-,0.30%,3,1.00%,4,0.20%,0.03,0.30%,0.2,0.50%,0.011,1.90%,0.038
