Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Breeze,1 bag,206.9 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Spinach, frozen, chopped or leaf, unprepared",42.5,20.60%,12.3,0.2,0,0,0,0,0,31.5,1.8,1.2,1.2,0.3,0,0,1.5,99.70%,4986,3.90%,2.3,5.50%,55,4.50%,0.8,0.00%,0,4.20%,147,6.20%,1.2,197.70%,158.2,2.70%,0.04,5.60%,0.095,1.10%,0.2,3.70%,0.073,15.40%,62,0.00%,0,0.40%,0.04,2.10%,21,8.00%,32,1.60%,0.24,3.60%,2.6,3.10%,0.061,15.00%,0.299
"Dates, deglet noor",7.5,3.60%,21.2,0,0,0,0,0,0,0.2,5.6,0.6,0.6,4.8,0,0,0.2,0.00%,1,0.10%,0,0.30%,3,0.40%,0.08,0.00%,0,1.40%,49,0.00%,0,0.30%,0.2,0.30%,0.004,0.30%,0.005,0.50%,0.1,0.60%,0.012,0.40%,1,0.00%,0,0.40%,0.04,0.50%,5,0.80%,3,0.10%,0.02,0.30%,0.2,0.80%,0.015,1.00%,0.02
"Avocados, raw, all commercial varieties",14.2,6.90%,22.7,2.1,0.3,0,0.3,1.4,0,1,1.2,0.9,0.9,0.1,0,0,0.3,0.40%,21,2.40%,1.4,0.20%,2,0.40%,0.08,0.00%,0,2.00%,69,1.50%,0.3,3.70%,3,0.60%,0.009,1.10%,0.018,1.20%,0.2,1.80%,0.036,2.90%,11,0.00%,0,2.00%,0.2,0.70%,7,1.00%,4,0.60%,0.09,0.10%,0.1,1.30%,0.027,1.00%,0.02
"Bananas, raw",28.4,13.70%,25.2,0.1,0,0,0,0,0,0.3,6.5,0.7,0.7,3.5,0,0,0.3,0.40%,18,4.10%,2.5,0.10%,1,0.40%,0.07,0.00%,0,2.90%,101,0.10%,0,0.20%,0.1,0.60%,0.009,1.20%,0.021,0.90%,0.2,5.20%,0.104,1.40%,6,0.00%,0,0.90%,0.09,0.60%,6,1.90%,8,0.30%,0.04,0.40%,0.3,1.10%,0.022,3.80%,0.077
"Oranges, raw, navels",28.4,13.70%,13.9,0,0,0,0,0,0,0.3,3.6,0.6,0.6,2.4,0,0,0.3,1.40%,70,27.90%,16.8,1.20%,12,0.20%,0.04,0.00%,0,1.30%,47,0.20%,0,0.00%,0,1.30%,0.019,0.90%,0.014,0.60%,0.1,1.10%,0.022,2.40%,10,0.00%,0,0.70%,0.07,0.70%,7,0.80%,3,0.20%,0.02,0.00%,0,0.60%,0.011,0.40%,0.008
"Mangos, raw",28.4,13.70%,17,0.1,0,0,0,0,0,0.3,4.2,0.5,0.5,3.9,0,0,0.2,6.10%,307,17.20%,10.3,0.30%,3,0.30%,0.05,0.00%,0,1.40%,48,1.30%,0.3,1.50%,1.2,0.50%,0.008,0.60%,0.011,0.90%,0.2,1.70%,0.034,3.00%,12,0.00%,0,0.60%,0.06,0.40%,4,0.70%,3,0.20%,0.03,0.20%,0.2,1.60%,0.031,0.90%,0.018
"Pineapple, raw, all varieties",28.4,13.70%,14.2,0,0,0,0,0,0,0.3,3.7,0.4,0.4,2.8,0,0,0.2,0.30%,16,22.60%,13.6,0.40%,4,0.50%,0.08,0.00%,0,0.90%,31,0.00%,0,0.20%,0.2,1.50%,0.022,0.50%,0.009,0.70%,0.1,1.60%,0.032,1.30%,5,0.00%,0,0.60%,0.06,0.20%,2,0.90%,3,0.20%,0.03,0.00%,0,1.60%,0.031,13.10%,0.263
"Kiwifruit, green, raw",21.3,10.30%,13,0.1,0,0,0.1,0,0,0.6,3.1,0.6,0.6,1.9,0,0,0.2,0.40%,18,32.90%,19.7,0.70%,7,0.40%,0.07,0.00%,0,1.90%,66,1.60%,0.3,10.70%,8.6,0.40%,0.006,0.30%,0.005,0.40%,0.1,0.70%,0.013,1.30%,5,0.00%,0,0.40%,0.04,0.70%,7,0.90%,4,0.20%,0.03,0.10%,0,1.40%,0.028,1.00%,0.021
"Nuts, coconut meat, raw",8,3.90%,28.3,2.7,2.4,0,0,0.1,0,1.6,1.2,0.7,0.7,0.5,0,0,0.3,0.00%,0,0.40%,0.3,0.10%,1,1.10%,0.19,0.00%,0,0.80%,28,0.10%,0,0.00%,0,0.40%,0.005,0.10%,0.002,0.20%,0,0.20%,0.004,0.50%,2,0.00%,0,0.20%,0.02,0.90%,9,0.60%,3,0.60%,0.09,1.20%,0.8,1.70%,0.035,6.00%,0.12
Totals (per serving),206.9,100%,168,5.4,2.8,0,0.4,1.6,0,36,31,6.4,6.4,20.1,0,0,3.5,108.80%,5438,111.40%,66.9,8.80%,88,8.10%,1.46,0.00%,0,16.80%,587,11.00%,2.2,214.40%,171.5,8.20%,0.123,10.60%,0.181,6.60%,1.3,16.60%,0.332,28.60%,115,0.00%,0,6.30%,0.63,6.80%,68,15.60%,62,4.00%,0.59,6.00%,4.2,13.10%,0.262,42.30%,0.845
