Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa-licious,1 bag,210.4 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Spinach, frozen, chopped or leaf, unprepared",42.5,20.20%,12.3,0.2,0,0,0,0,0,31.5,1.8,1.2,1.2,0.3,0,0,1.5,99.70%,4986,3.90%,2.3,5.50%,55,4.50%,0.8,0.00%,0,4.20%,147,6.20%,1.2,197.70%,158.2,2.70%,0.04,5.60%,0.095,1.10%,0.2,3.70%,0.073,15.40%,62,0.00%,0,0.40%,0.04,2.10%,21,8.00%,32,1.60%,0.24,3.60%,2.6,3.10%,0.061,15.00%,0.299
"Apples, raw, with skin",42.5,20.20%,22.1,0.1,0,0,0,0,0,0.4,5.9,1,1,4.4,0,0,0.1,0.50%,23,3.30%,2,0.30%,3,0.30%,0.05,0.00%,0,1.30%,46,0.40%,0.1,1.20%,0.9,0.50%,0.007,0.70%,0.011,0.20%,0,0.90%,0.017,0.30%,1,0.00%,0,0.30%,0.03,0.50%,5,0.50%,2,0.10%,0.02,0.00%,0,0.60%,0.011,0.70%,0.015
"Kiwifruit, green, raw",28.4,13.50%,17.3,0.1,0,0,0.1,0,0,0.9,4.2,0.9,0.9,2.5,0,0,0.3,0.50%,25,43.80%,26.3,1.00%,10,0.50%,0.09,0.00%,0,2.50%,88,2.10%,0.4,14.30%,11.4,0.50%,0.008,0.40%,0.007,0.50%,0.1,0.90%,0.018,1.80%,7,0.00%,0,0.50%,0.05,1.00%,10,1.20%,5,0.30%,0.04,0.10%,0.1,1.80%,0.037,1.40%,0.028
"Cucumber, peeled, raw",14.2,6.70%,1.7,0,0,0,0,0,0,0.3,0.3,0.1,0.1,0.2,0,0,0.1,0.20%,10,0.80%,0.5,0.20%,2,0.20%,0.03,0.00%,0,0.60%,19,0.00%,0,1.30%,1,0.30%,0.004,0.20%,0.004,0.00%,0,0.40%,0.007,0.50%,2,0.00%,0,0.30%,0.03,0.30%,3,0.40%,2,0.20%,0.02,0.00%,0,0.50%,0.01,0.50%,0.01
"Grapes, red or green, raw",21.3,10.10%,14.7,0,0,0,0,0,0,0.4,3.8,0.2,0.2,3.3,0,0,0.2,0.30%,14,1.10%,0.7,0.20%,2,0.40%,0.08,0.00%,0,1.20%,41,0.20%,0,3.90%,3.1,1.00%,0.015,0.90%,0.015,0.20%,0,0.90%,0.018,0.10%,0,0.00%,0,0.10%,0.01,0.40%,4,0.40%,1,0.10%,0.01,0.00%,0,1.40%,0.027,0.80%,0.015
"Avocados, raw, all commercial varieties",7.1,3.40%,11.3,1,0.2,0,0.1,0.7,0,0.5,0.6,0.5,0.5,0,0,0,0.1,0.20%,10,1.20%,0.7,0.10%,1,0.20%,0.04,0.00%,0,1.00%,34,0.70%,0.1,1.90%,1.5,0.30%,0.005,0.50%,0.009,0.60%,0.1,0.90%,0.018,1.40%,6,0.00%,0,1.00%,0.1,0.40%,4,0.50%,2,0.30%,0.05,0.00%,0,0.70%,0.013,0.50%,0.01
"Pears, raw",28.4,13.50%,16.2,0,0,0,0,0,0,0.3,4.3,0.9,0.9,2.8,0,0,0.1,0.10%,7,2.00%,1.2,0.30%,3,0.30%,0.05,0.00%,0,0.90%,33,0.20%,0,1.60%,1.2,0.20%,0.003,0.40%,0.007,0.20%,0,0.40%,0.008,0.50%,2,0.00%,0,0.10%,0.01,0.30%,3,0.50%,2,0.20%,0.03,0.00%,0,1.20%,0.023,0.70%,0.014
"Oranges, raw, navels",7.1,3.40%,3.5,0,0,0,0,0,0,0.1,0.9,0.2,0.2,0.6,0,0,0.1,0.40%,18,7.00%,4.2,0.30%,3,0.10%,0.01,0.00%,0,0.30%,12,0.10%,0,0.00%,0,0.30%,0.005,0.20%,0.004,0.20%,0,0.30%,0.006,0.60%,2,0.00%,0,0.20%,0.02,0.20%,2,0.20%,1,0.00%,0.01,0.00%,0,0.10%,0.003,0.10%,0.002
"Seeds, chia seeds, dried",4,1.90%,19.4,1.2,0.1,0,0.9,0.1,0,0.6,1.7,1.4,1.4,0.1,0,0,0.7,0.00%,2,0.10%,0.1,2.50%,25,1.70%,0.31,-,-,0.50%,16,0.10%,0,-,-,1.70%,0.025,0.40%,0.007,1.80%,0.4,-,-,0.50%,2,0.00%,0,-,-,3.40%,34,3.40%,13,1.20%,0.18,3.20%,2.2,1.80%,0.037,5.40%,0.109
"Dates, deglet noor",15,7.10%,42.3,0.1,0,0,0,0,0,0.3,11.3,1.2,1.2,9.5,0,0,0.4,0.00%,2,0.10%,0.1,0.60%,6,0.90%,0.15,0.00%,0,2.80%,98,0.00%,0,0.50%,0.4,0.50%,0.008,0.60%,0.01,1.00%,0.2,1.20%,0.025,0.70%,3,0.00%,0,0.90%,0.09,0.90%,9,1.60%,6,0.30%,0.04,0.60%,0.5,1.50%,0.031,2.00%,0.039
