Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rollin' Oats,1 bag,208.6 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Spinach, frozen, chopped or leaf, unprepared",42.5,20.40%,12.3,0.2,0,0,0,0,0,31.5,1.8,1.2,1.2,0.3,0,0,1.5,99.70%,4986,3.90%,2.3,5.50%,55,4.50%,0.8,0.00%,0,4.20%,147,6.20%,1.2,197.70%,158.2,2.70%,0.04,5.60%,0.095,1.10%,0.2,3.70%,0.073,15.40%,62,0.00%,0,0.40%,0.04,2.10%,21,8.00%,32,1.60%,0.24,3.60%,2.6,3.10%,0.061,15.00%,0.299
"Dates, deglet noor",15,7.20%,42.3,0.1,0,0,0,0,0,0.3,11.3,1.2,1.2,9.5,0,0,0.4,0.00%,2,0.10%,0.1,0.60%,6,0.90%,0.15,0.00%,0,2.80%,98,0.00%,0,0.50%,0.4,0.50%,0.008,0.60%,0.01,1.00%,0.2,1.20%,0.025,0.70%,3,0.00%,0,0.90%,0.09,0.90%,9,1.60%,6,0.30%,0.04,0.60%,0.5,1.50%,0.031,2.00%,0.039
"Avocados, raw, all commercial varieties",14.2,6.80%,22.7,2.1,0.3,0,0.3,1.4,0,1,1.2,0.9,0.9,0.1,0,0,0.3,0.40%,21,2.40%,1.4,0.20%,2,0.40%,0.08,0.00%,0,2.00%,69,1.50%,0.3,3.70%,3,0.60%,0.009,1.10%,0.018,1.20%,0.2,1.80%,0.036,2.90%,11,0.00%,0,2.00%,0.2,0.70%,7,1.00%,4,0.60%,0.09,0.10%,0.1,1.30%,0.027,1.00%,0.02
"Bananas, raw",35.4,17.00%,31.5,0.1,0,0,0,0,0,0.4,8.1,0.9,0.9,4.3,0,0,0.4,0.50%,23,5.10%,3.1,0.20%,2,0.50%,0.09,0.00%,0,3.60%,127,0.20%,0,0.20%,0.2,0.70%,0.011,1.50%,0.026,1.20%,0.2,6.50%,0.13,1.80%,7,0.00%,0,1.20%,0.12,0.80%,8,2.40%,10,0.40%,0.05,0.50%,0.4,1.40%,0.028,4.80%,0.096
"Blueberries, frozen, unsweetened",42.5,20.40%,21.7,0.3,0,0,0.1,0,0,0.4,5.2,1.1,1.1,3.6,0,0,0.2,0.40%,20,1.80%,1.1,0.30%,3,0.40%,0.08,0.00%,0,0.70%,23,1.00%,0.2,8.70%,7,0.90%,0.014,0.90%,0.016,1.10%,0.2,1.30%,0.025,0.70%,3,0.00%,0,0.50%,0.05,0.50%,5,0.50%,2,0.20%,0.03,0.10%,0,0.70%,0.014,3.10%,0.063
"Apples, raw, with skin",35.4,17.00%,18.4,0.1,0,0,0,0,0,0.4,4.9,0.9,0.9,3.7,0,0,0.1,0.40%,19,2.70%,1.6,0.20%,2,0.20%,0.04,0.00%,0,1.10%,38,0.30%,0.1,1.00%,0.8,0.40%,0.006,0.50%,0.009,0.20%,0,0.70%,0.015,0.30%,1,0.00%,0,0.20%,0.02,0.40%,4,0.40%,2,0.10%,0.01,0.00%,0,0.50%,0.01,0.60%,0.012
"Cereals, oats",14.2,6.80%,53.7,0.9,0.2,0.2,0.3,0.3,0,0.9,9.6,1.4,1.4,0.1,0,0,1.9,0.00%,0,0.00%,0,0.70%,7,3.30%,0.6,0.00%,0,1.50%,51,0.30%,0.1,0.40%,0.3,4.30%,0.065,1.30%,0.022,0.80%,0.2,0.70%,0.014,1.10%,5,0.00%,0,1.60%,0.16,5.80%,58,4.90%,20,3.40%,0.52,5.90%,4.1,2.80%,0.055,25.70%,0.515
"Seeds, chia seeds, dried",8,3.80%,38.9,2.5,0.3,0,1.9,0.2,0,1.3,3.4,2.8,2.8,0.2,0,0,1.3,0.10%,4,0.20%,0.1,5.00%,50,3.40%,0.62,-,-,0.90%,33,0.20%,0,-,-,3.30%,0.05,0.80%,0.014,3.50%,0.7,-,-,1.00%,4,0.00%,0,-,-,6.90%,69,6.70%,27,2.40%,0.37,6.30%,4.4,3.70%,0.074,10.90%,0.218
"Spices, cinnamon, ground",1.3,0.60%,3.2,0,0,0,0,0,0,0.1,1,0.7,0.7,0,0,0,0.1,0.10%,4,0.10%,0,1.30%,13,0.60%,0.11,0.00%,0,0.20%,6,0.20%,0,0.50%,0.4,0.00%,0,0.00%,0.001,0.10%,0,0.10%,0.002,0.00%,0,0.00%,0,0.00%,0,0.10%,1,0.20%,1,0.20%,0.02,0.10%,0,0.20%,0.004,11.40%,0.227
Totals (per serving),208.6,100%,245,6.2,0.8,0.2,2.7,1.9,0,36.2,46.4,11.2,11.2,21.9,0,0,6.1,101.60%,5078,16.30%,9.8,14.10%,141,14.30%,2.57,0.00%,0,16.90%,592,9.80%,2,212.70%,170.2,13.50%,0.203,12.40%,0.211,10.10%,2,16.00%,0.32,23.90%,96,0.00%,0,6.80%,0.68,18.20%,182,25.80%,103,9.20%,1.38,17.20%,12,15.20%,0.304,74.40%,1.489
Totals/100 grams***,-,-,117,3,0.4,0.1,1.3,0.9,0,17.3,22.3,5.4,5.4,10.5,0,0,2.9,48.70%,2435,7.80%,4.7,6.70%,67,6.90%,1.23,0.00%,0,8.10%,284,4.70%,0.9,102.00%,81.6,6.50%,0.097,5.90%,0.101,4.90%,1,7.70%,0.154,11.50%,46,0.00%,0,3.30%,0.33,8.70%,87,12.40%,49,4.40%,0.66,8.20%,5.8,7.30%,0.146,35.70%,0.714
