Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very Veggie,1 bag,204.4 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Spinach, raw",42.5,20.80%,9.8,0.2,0,0,0.1,0,0,33.6,1.5,0.9,0.9,0.2,0,0,1.2,79.80%,3988,19.90%,11.9,4.20%,42,6.40%,1.15,0.00%,0,6.80%,237,4.30%,0.9,256.70%,205.4,2.20%,0.033,4.70%,0.08,1.50%,0.3,4.10%,0.083,20.60%,82,0.00%,0,0.30%,0.03,2.10%,21,8.40%,34,1.50%,0.23,0.60%,0.4,2.80%,0.055,19.10%,0.381
"Parsley, fresh",5,2.40%,1.8,0,0,0,0,0,0,2.8,0.3,0.2,0.2,0,0,0,0.1,8.40%,421,11.10%,6.7,0.70%,7,1.70%,0.31,0.00%,0,0.80%,28,0.20%,0,102.50%,82,0.30%,0.004,0.30%,0.005,0.30%,0.1,0.20%,0.005,1.90%,8,0.00%,0,0.20%,0.02,0.30%,3,0.60%,3,0.40%,0.05,0.00%,0,0.40%,0.007,0.40%,0.008
Cucumbers,56.7,27.70%,6.4,0.1,0,0,0,0,0,1.1,1.1,0.4,0.4,0.7,0,0,0.3,0.80%,38,2.80%,1.7,0.70%,7,0.60%,0.12,0.00%,0,2.10%,72,0.10%,0,4.80%,3.8,1.10%,0.016,0.80%,0.013,0.10%,0,1.40%,0.027,1.90%,7,0.00%,0,1.30%,0.13,1.10%,11,1.60%,6,0.60%,0.09,0.10%,0.1,1.90%,0.038,1.90%,0.039
"Celery, raw",14.2,6.90%,2.3,0,0,0,0,0,0,11.3,0.4,0.2,0.2,0.3,0,0,0.1,1.30%,64,0.70%,0.4,0.60%,6,0.20%,0.03,0.00%,0,1.10%,37,0.20%,0,5.20%,4.2,0.20%,0.003,0.50%,0.008,0.20%,0,0.50%,0.01,1.30%,5,0.00%,0,0.30%,0.03,0.30%,3,0.40%,2,0.10%,0.02,0.10%,0.1,0.20%,0.005,0.70%,0.015
"Avocados, raw, all commercial varieties",42.5,20.80%,68,6.2,0.9,0,0.8,4.2,0,3,3.6,2.8,2.8,0.3,0,0,0.9,1.20%,62,7.10%,4.3,0.50%,5,1.30%,0.23,0.00%,0,5.90%,206,4.40%,0.9,11.20%,8.9,1.90%,0.028,3.30%,0.055,3.70%,0.7,5.50%,0.109,8.60%,34,0.00%,0,5.90%,0.59,2.20%,22,3.10%,12,1.80%,0.27,0.20%,0.2,4.00%,0.081,3.00%,0.06
"Pineapple, raw, all varieties",35.4,17.30%,17.7,0,0,0,0,0,0,0.4,4.6,0.5,0.5,3.5,0,0,0.2,0.40%,21,28.20%,16.9,0.50%,5,0.60%,0.1,0.00%,0,1.10%,39,0.00%,0,0.30%,0.2,1.90%,0.028,0.70%,0.011,0.90%,0.2,2.00%,0.04,1.60%,6,0.00%,0,0.80%,0.08,0.30%,3,1.10%,4,0.30%,0.04,0.10%,0,1.90%,0.039,16.40%,0.329
"Ginger root, raw",6,2.90%,4.8,0,0,0,0,0,0,0.8,1.1,0.1,0.1,0.1,0,0,0.1,0.00%,0,0.50%,0.3,0.10%,1,0.20%,0.04,0.00%,0,0.70%,25,0.10%,0,0.00%,0,0.10%,0.002,0.10%,0.002,0.20%,0,0.50%,0.01,0.20%,1,0.00%,0,0.10%,0.01,0.20%,2,0.60%,3,0.10%,0.02,0.10%,0,0.70%,0.014,0.70%,0.014
"Lemon peel, raw",2,1.00%,0.9,0,0,0,0,0,0,0.1,0.3,0.2,0.2,0.1,0,0,0,0.00%,1,4.30%,2.6,0.30%,3,0.10%,0.02,0.00%,0,0.10%,3,0.00%,0,0.00%,0,0.10%,0.001,0.10%,0.002,0.00%,0,0.20%,0.003,0.10%,0,0.00%,0,0.10%,0.01,0.00%,0,0.10%,0,0.00%,0.01,0.00%,0,0.10%,0.002,-,-
Totals (per serving),204.4,100%,112,6.6,1,0,0.9,4.2,0,53,13.1,5.4,5.4,5.2,0,0,3,91.90%,4594,74.70%,44.8,7.50%,75,11.10%,2,0.00%,0,18.50%,647,9.30%,1.9,380.60%,304.5,7.70%,0.116,10.40%,0.177,7.00%,1.4,14.40%,0.287,36.10%,144,0.00%,0,8.90%,0.89,6.60%,66,15.90%,63,4.90%,0.73,1.10%,0.8,12.00%,0.241,42.30%,0.845
Totals/100 grams***,-,-,55,3.3,0.5,0,0.4,2.1,0,25.9,6.4,2.6,2.6,2.5,0,0,1.4,45.00%,2248,36.50%,21.9,3.70%,37,5.40%,0.98,0.00%,0,9.00%,317,4.60%,0.9,186.30%,149,3.80%,0.057,5.10%,0.087,3.40%,0.7,7.00%,0.14,17.70%,71,0.00%,0,4.40%,0.44,3.20%,32,7.80%,31,2.40%,0.36,0.60%,0.4,5.90%,0.118,20.70%,0.414
