,,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other,
,,,,Energy,Protein,Total lipid (fat),Carbohydrate. by difference,Fiber. total dietary,Sugars. total,Calcium. Ca,Iron. Fe,Magnesium. Mg,Phosphorus. P,Potassium. K,Sodium. Na,Zinc. Zn,Vitamin C. total ascorbic acid,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin B-6,Folate. DFE,Vitamin B-12,Vitamin A. RAE,Vitamin A. IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Fatty acids. total saturated,Fatty acids. total monounsaturated,Fatty acids. total polyunsaturated,Fatty acids. total trans,Cholesterol,Other,Caffeine
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg
Meals,Ingredients,Unit,RDI,2000,50,60,,28,,1200,15,350,500,4000,1500,15,75,1.4,1.6,18,2,400,2000,600,,10,5,600,80,,,,,,,
Breakfast 1,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Cinnamon Mini Muffins,Oats,cup,0.13,75.9,3.3,1.3,12.9,2.1,-,10.5,0.9,34.5,102,83.7,0.4,0.8,-,148.8,27.1,187.4,23.2,10.9,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Flax seeds,cup,0.06,56.1,1.9,4.4,3,2.9,0.2,26.8,0.6,41.2,67.4,85.4,3.2,0.5,0.1,0.2,0,0.3,0,9.1,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Raw banana,cup,0.07,19.1,0.2,0.1,4.9,0.6,2.6,1.1,0.1,5.8,4.7,76.7,0.2,0,1.9,0,0,0.1,0.1,4.3,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Cinnamon,tsp,0.5,2.8,0,0,0.9,0.6,0,11.5,0.1,0.7,0.7,5,0.1,0,0,0.3,0.5,0,1.8,0.1,-,0.1,1.5,0,-,-,0.2,1.7,1.2,0.3,-,-,-,-
,Apple raw with skin,cup,0.25,15.6,0.1,0.1,4.1,0.7,3.1,1.8,0,1.5,3.3,32.1,0.3,0,1.4,0,0,0,0,0.9,-,0,0.1,0,-,-,0,0,0,0,-,-,-,-
,Coconut milk,cup,0.5,159.6,-,16,4,-,2,-,0.7,-,-,-,20.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,-,-,-,-,-
,Dates,cup,0.06,30.8,0.3,0,8.2,0.9,6.9,4.3,0.1,4.7,6.8,71.8,0.2,0,0,0,0,0.1,0,2.1,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Pure vanilla extract,tsp,0.13,1.5,0,0,0.1,-,0.1,0.1,0,0.1,0,0.8,0,0,-,0.1,0.5,2.2,0.1,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Stevia,drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tapioca pearl,cup,0.04,22.7,0,0,5.6,0.1,0.2,1.3,0.1,0.1,0.4,0.7,0.1,0,-,0.3,-,-,0.5,0.3,-,-,-,-,-,-,-,0,0,0,-,-,-,-
,Dark raisins,cup,0.06,28,0.3,0,7.4,0.4,6.1,5.8,0.2,3.4,9.2,69.8,2.4,0,0.2,0,0,0.1,0,0.5,-,-,-,0,-,-,0,0,0,0,-,-,-,-
