Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detox,1 bag,209.7 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Dates, deglet noor",15,7.20%,42.3,0.1,0,0,0,0,0,0.3,11.3,1.2,1.2,9.5,0,0,0.4,0.00%,2,0.10%,0.1,0.60%,6,0.90%,0.15,0.00%,0,2.80%,98,0.00%,0,0.50%,0.4,0.50%,0.008,0.60%,0.01,1.00%,0.2,1.20%,0.025,0.70%,3,0.00%,0,0.90%,0.09,0.90%,9,1.60%,6,0.30%,0.04,0.60%,0.5,1.50%,0.031,2.00%,0.039
"Avocados, raw, all commercial varieties",14.2,6.80%,22.7,2.1,0.3,0,0.3,1.4,0,1,1.2,0.9,0.9,0.1,0,0,0.3,0.40%,21,2.40%,1.4,0.20%,2,0.40%,0.08,0.00%,0,2.00%,69,1.50%,0.3,3.70%,3,0.60%,0.009,1.10%,0.018,1.20%,0.2,1.80%,0.036,2.90%,11,0.00%,0,2.00%,0.2,0.70%,7,1.00%,4,0.60%,0.09,0.10%,0.1,1.30%,0.027,1.00%,0.02
"Pears, raw",42.5,20.30%,24.2,0.1,0,0,0,0,0,0.4,6.5,1.3,1.3,4.1,0,0,0.2,0.20%,11,3.00%,1.8,0.40%,4,0.40%,0.08,0.00%,0,1.40%,49,0.30%,0.1,2.30%,1.9,0.30%,0.005,0.70%,0.011,0.30%,0.1,0.60%,0.012,0.70%,3,0.00%,0,0.20%,0.02,0.50%,5,0.70%,3,0.30%,0.04,0.10%,0,1.70%,0.035,1.00%,0.02
"Oranges, raw, navels",56.7,27.00%,27.8,0.1,0,0,0,0,0,0.6,7.1,1.2,1.2,4.8,0,0,0.5,2.80%,140,55.80%,33.5,2.40%,24,0.40%,0.07,0.00%,0,2.70%,94,0.40%,0.1,0.00%,0,2.60%,0.039,1.70%,0.029,1.20%,0.2,2.20%,0.045,4.80%,19,0.00%,0,1.50%,0.15,1.30%,13,1.60%,6,0.30%,0.05,0.00%,0,1.10%,0.022,0.80%,0.016
"Cucumber, peeled, raw",28.4,13.50%,3.4,0,0,0,0,0,0,0.6,0.6,0.2,0.2,0.4,0,0,0.2,0.40%,20,1.50%,0.9,0.40%,4,0.30%,0.06,0.00%,0,1.10%,39,0.00%,0,2.60%,2,0.60%,0.009,0.40%,0.007,0.10%,0,0.70%,0.014,1.00%,4,0.00%,0,0.70%,0.07,0.60%,6,0.90%,3,0.30%,0.05,0.00%,0,1.00%,0.02,1.00%,0.021
"Limes, raw",7.1,3.40%,2.1,0,0,0,0,0,0,0.1,0.7,0.2,0.2,0.1,0,0,0,0.10%,4,3.40%,2.1,0.20%,2,0.20%,0.04,0.00%,0,0.20%,7,0.10%,0,0.10%,0,0.10%,0.002,0.10%,0.001,0.10%,0,0.20%,0.003,0.10%,1,0.00%,0,0.20%,0.02,0.10%,1,0.10%,0,0.10%,0.01,0.00%,0,0.20%,0.005,0.00%,0.001
"Spices, turmeric, ground (tumeric)",0.3,0.10%,1,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0,0,0,0,0.00%,0,0.10%,0.1,0.10%,1,0.60%,0.11,0.00%,0,0.20%,7,0.00%,0,0.00%,0,0.00%,0,0.00%,0.001,0.10%,0,0.20%,0.005,0.00%,0,0.00%,0,0.00%,0,0.10%,1,0.10%,1,0.10%,0.01,0.00%,0,0.10%,0.002,1.10%,0.022
"Spinach, raw",42.5,20.30%,9.8,0.2,0,0,0.1,0,0,33.6,1.5,0.9,0.9,0.2,0,0,1.2,79.80%,3988,19.90%,11.9,4.20%,42,6.40%,1.15,0.00%,0,6.80%,237,4.30%,0.9,256.70%,205.4,2.20%,0.033,4.70%,0.08,1.50%,0.3,4.10%,0.083,20.60%,82,0.00%,0,0.30%,0.03,2.10%,21,8.40%,34,1.50%,0.23,0.60%,0.4,2.80%,0.055,19.10%,0.381
"Lime, Zest",0.5,0.20%,0.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.00%,0,2.00%,1.2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"Ginger root, raw",0.8,0.40%,0.7,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.00%,0,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.10%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.10%,0.001,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.10%,0,0.00%,0,0.00%,0,0.10%,0.002,0.10%,0.002
