Recipe Name,Serving Size,Serving Size Weight,Servings Per Container,Daily Value Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immunity,1 bag,210.7 g,1,FDA Adult (default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient,Grams,Grams (%),Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Polyunsat Fat (g),Monounsat Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Fiber (per new FDA rules) (g),Sugars (g),Added Sugar (g),Sugar Alcohol (g),Protein (g),Vitamin A,Vitamin A (IU),Vitamin C,Vitamin C (mg),Calcium,Calcium (mg),Iron,Iron (mg),Vitamin D,Vitamin D (IU),Potassium,Potassium (mg),Vitamin E,Vitamin E (mg),Vitamin K,Vitamin K (µg),Thiamin,Thiamin (mg),Riboflavin,Riboflavin (mg),Niacin,Niacin (mg),Vitamin B6,Vitamin B6 (mg),Folate,Folate (µg),Vitamin B12,Vitamin B12 (µg),Pantothenic Acid,Pantothenic Acid (mg),Phosphorus,Phosphorus (mg),Magnesium,Magnesium (mg),Zinc,Zinc (mg),Selenium,Selenium (µg),Copper,Copper (mg),Manganese,Manganese (mg)
"Spinach, frozen, chopped or leaf, unprepared",42.5,20.20%,12.3,0.2,0,0,0,0,0,31.5,1.8,1.2,1.2,0.3,0,0,1.5,99.70%,4986,3.90%,2.3,5.50%,55,4.50%,0.8,0.00%,0,4.20%,147,6.20%,1.2,197.70%,158.2,2.70%,0.04,5.60%,0.095,1.10%,0.2,3.70%,0.073,15.40%,62,0.00%,0,0.40%,0.04,2.10%,21,8.00%,32,1.60%,0.24,3.60%,2.6,3.10%,0.061,15.00%,0.299
"Dates, deglet noor",22.5,10.70%,63.5,0.1,0,0,0,0,0,0.5,16.9,1.8,1.8,14.3,0,0,0.6,0.00%,2,0.20%,0.1,0.90%,9,1.30%,0.23,0.00%,0,4.20%,148,0.10%,0,0.80%,0.6,0.80%,0.012,0.90%,0.015,1.40%,0.3,1.90%,0.037,1.10%,4,0.00%,0,1.30%,0.13,1.40%,14,2.40%,10,0.40%,0.07,1.00%,0.7,2.30%,0.046,2.90%,0.059
"Avocados, raw, all commercial varieties",14.2,6.70%,22.7,2.1,0.3,0,0.3,1.4,0,1,1.2,0.9,0.9,0.1,0,0,0.3,0.40%,21,2.40%,1.4,0.20%,2,0.40%,0.08,0.00%,0,2.00%,69,1.50%,0.3,3.70%,3,0.60%,0.009,1.10%,0.018,1.20%,0.2,1.80%,0.036,2.90%,11,0.00%,0,2.00%,0.2,0.70%,7,1.00%,4,0.60%,0.09,0.10%,0.1,1.30%,0.027,1.00%,0.02
"Pears, raw",42.5,20.20%,24.2,0.1,0,0,0,0,0,0.4,6.5,1.3,1.3,4.1,0,0,0.2,0.20%,11,3.00%,1.8,0.40%,4,0.40%,0.08,0.00%,0,1.40%,49,0.30%,0.1,2.30%,1.9,0.30%,0.005,0.70%,0.011,0.30%,0.1,0.60%,0.012,0.70%,3,0.00%,0,0.20%,0.02,0.50%,5,0.70%,3,0.30%,0.04,0.10%,0,1.70%,0.035,1.00%,0.02
"Oranges, raw, navels",49.6,23.50%,24.3,0.1,0,0,0,0,0,0.5,6.2,1.1,1.1,4.2,0,0,0.5,2.50%,123,48.90%,29.3,2.10%,21,0.40%,0.06,0.00%,0,2.40%,82,0.40%,0.1,0.00%,0,2.20%,0.034,1.50%,0.025,1.10%,0.2,2.00%,0.039,4.20%,17,0.00%,0,1.30%,0.13,1.10%,11,1.40%,5,0.30%,0.04,0.00%,0,1.00%,0.019,0.70%,0.014
"Lemons, raw, without peel",28.4,13.50%,8.2,0.1,0,0,0,0,0,0.6,2.6,0.8,0.8,0.7,0,0,0.3,0.10%,6,25.00%,15,0.70%,7,0.90%,0.17,0.00%,0,1.10%,39,0.20%,0,0.00%,0,0.80%,0.011,0.30%,0.006,0.10%,0,1.10%,0.023,0.80%,3,0.00%,0,0.50%,0.05,0.50%,5,0.60%,2,0.10%,0.02,0.20%,0.1,0.50%,0.01,0.40%,0.009
"Lemon peel, raw",1,0.50%,0.5,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0,0,0,0,0.00%,1,2.20%,1.3,0.10%,1,0.00%,0.01,0.00%,0,0.00%,2,0.00%,0,0.00%,0,0.00%,0.001,0.00%,0.001,0.00%,0,0.10%,0.002,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0.001,-,-
"Seeds, Hemp, raw, shelled",10,4.70%,56.7,4.3,0.5,0,3.3,0.5,0,0,1,0.9,0.9,0.1,0,0,3.3,0.00%,0,0.00%,0,0.70%,7,6.70%,1.2,0.00%,0,3.40%,120,0.00%,0,0.00%,0,8.30%,0.125,2.00%,0.034,0.00%,0,2.70%,0.053,2.70%,11,0.00%,0,0.00%,0,15.00%,150,15.00%,60,6.70%,1,0.00%,0,0.00%,0,36.70%,0.733
"Spices, pepper, red or cayenne",0.1,0.00%,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50%,23,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.10%,0,0.10%,0,0.00%,0,0.00%,0.001,0.00%,0,0.10%,0.001,0.00%,0,0.00%,0,-,-,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.10%,0.001
Totals (per serving),210.7,100%,213,7,0.9,0,3.7,2,0,34.5,36.4,8.2,8.2,23.9,0,0,6.6,103.50%,5173,85.60%,51.4,10.60%,106,14.60%,2.63,0.00%,0,18.80%,657,8.60%,1.7,204.60%,163.7,15.80%,0.237,12.10%,0.206,5.30%,1.1,13.90%,0.277,27.80%,111,0.00%,0,5.80%,0.58,21.30%,213,29.20%,117,10.00%,1.5,4.90%,3.5,10.00%,0.2,57.80%,1.156
Totals/100 grams***,-,-,101,3.3,0.4,0,1.8,0.9,0,16.4,17.3,3.9,3.9,11.3,0,0,3.2,49.10%,2455,40.60%,24.4,5.00%,50,6.90%,1.25,0.00%,0,8.90%,312,4.10%,0.8,97.10%,77.7,7.50%,0.113,5.70%,0.098,2.50%,0.5,6.60%,0.132,13.20%,53,0.00%,0,2.70%,0.27,10.10%,101,13.80%,55,4.70%,0.71,2.30%,1.6,4.80%,0.095,27.40%,0.549
