5cb581403945895a51202ae2
score,meal,minimize,prior,avoid,supplier_id
150,b'beluga lentil braise',[],"['zucchini', 'carrot', 'ginger', 'green beans', 'potato']",[],5cb0fa253b7750fa415d3045
130,b'chocolate covered strawberry super-food oats',[],"['total fiber', 'flax', 'nuts']",[],5cb0fa253b7750fa415d3044
120,b'wild blueberry super-food oats',[],"['flax', 'nuts']",[],5cb0fa253b7750fa415d3044
120,b'oatmeal breakfast pie',[],"['nuts', 'potato']",[],5cb0fa253b7750fa415d3045
110,b'apple cinnamon mini muffins',[],['flax'],[],5cb0fa253b7750fa415d3044
110,b'sweet beet slaw salad',[],['nuts'],[],5cb0fa253b7750fa415d3044
110,b'detox',[],['ginger'],[],5cb0fa253b7750fa415d3046
110,b'jungle breeze',[],['nuts'],[],5cb0fa253b7750fa415d3046
110,b'berry-nana-rama',[],['flax'],[],5cb0fa253b7750fa415d3046
110,b'green protein',[],['flax'],[],5cb0fa253b7750fa415d3046
110,b'very veggie',[],['ginger'],[],5cb0fa253b7750fa415d3046
100,b'blueberry banana pancakes',[],[],[],5cb0fa253b7750fa415d3044
100,b'berry choco-latte',[],[],[],5cb0fa253b7750fa415d3046
100,b'napa-licious',[],[],[],5cb0fa253b7750fa415d3046
100,"b""rollin' oats""",[],[],[],5cb0fa253b7750fa415d3046
100,b'mushroom risotto',['garlic'],"['green beans', 'carrot']",[],5cb0fa253b7750fa415d3045
100,b'pad thai',"['peppers, hot']","['ginger', 'carrot']",[],5cb0fa253b7750fa415d3045
90,b'moroccan melange',"['garlic', 'spicy powders']","['ginger', 'carrot', 'potato']",[],5cb0fa253b7750fa415d3045
90,b'black bean pasta alfredo',"['garlic', 'spicy powders']","['asparagus', 'zucchini', 'potato']",[],5cb0fa253b7750fa415d3045
90,b'chinese eggplant stirfry',"['garlic', 'spicy powders']","['ginger', 'nut butter', 'carrot']",[],5cb0fa253b7750fa415d3045
85,b'immunity',['spicy powders'],[],[],5cb0fa253b7750fa415d3046
80,b'mediterranean falafel',['garlic'],[],[],5cb0fa253b7750fa415d3045
80,b'spinach pie',['garlic'],[],[],5cb0fa253b7750fa415d3045
80,b'ultimate veggie wrap',"['garlic', 'onion']","['zucchini', 'potato']",[],5cb0fa253b7750fa415d3045
75,b'perfect pot pie',"['insoluble fiber', 'onion']","['flax', 'carrot']",[],5cb0fa253b7750fa415d3043
70,b'sweet potato & black bean burger with roasted veggies',"['insoluble fiber', 'onion', 'peppers, hot', 'spicy powders']","['total fiber', 'carrot', 'potato']",[],5cb0fa253b7750fa415d3043
70,"b""creamy italian chick'n""","['garlic', 'onion', 'tomato']","['asparagus', 'carrot', 'potato']",[],5cb0fa253b7750fa415d3045
70,b'soba noodles in peanut sauce',"['garlic', 'peppers, hot', 'spicy powders']","['ginger', 'nuts', 'carrot']",[],5cb0fa253b7750fa415d3045
70,b'kale and quinoa salad',"['garlic', 'onion']",['carrot'],[],5cb0fa253b7750fa415d3045
70,b'quinoa bake',"['garlic', 'onion']",['potato'],[],5cb0fa253b7750fa415d3045
60,b'creamy celeriac soup with rosemary oat crumble',"['insoluble fiber', 'garlic', 'spicy powders']","['flax', 'potato']",[],5cb0fa253b7750fa415d3043
60,b'cremini & shiitake mushroom soup with rosemary oat crumble',"['insoluble fiber', 'onion', 'spicy powders']","['total fiber', 'flax']",[],5cb0fa253b7750fa415d3043
60,b'red curry with tofu',"['garlic', 'peppers, hot', 'spicy powders']","['ginger', 'carrot']",[],5cb0fa253b7750fa415d3045
60,"b""country fried chick'n""","['garlic', 'onion', 'spicy powders']","['carrot', 'potato']",[],5cb0fa253b7750fa415d3045
60,b'veggie empanadas',"['garlic', 'peppers, hot', 'spicy powders']","['carrot', 'potato']",[],5cb0fa253b7750fa415d3045
60,"b""thai chick'n stew""","['garlic', 'onion', 'peppers, hot', 'tomato']","['ginger', 'carrot', 'nut butter', 'potato']",[],5cb0fa253b7750fa415d3045
60,b'veggie pesto pizza',"['garlic', 'onion', 'spicy powders']","['nuts', 'potato']",[],5cb0fa253b7750fa415d3045
50,b'lunchtime rita with green salsa',"['insoluble fiber', 'garlic', 'peppers, hot']",['total fiber'],[],5cb0fa253b7750fa415d3043
50,"b""southwest bbq chick'n""","['garlic', 'onion', 'spicy powders', 'tomato']","['asparagus', 'zucchini', 'potato']",[],5cb0fa253b7750fa415d3045
50,b'portobello steak dinner',"['garlic', 'onion', 'spicy powders']",['carrot'],[],5cb0fa253b7750fa415d3045
50,b'shepherdless pie',"['garlic', 'onion', 'spicy powders']",['potato'],[],5cb0fa253b7750fa415d3045
50,b'latin stew',"['garlic', 'onion', 'spicy powders', 'tomato']","['green beans', 'carrot', 'potato']",[],5cb0fa253b7750fa415d3045
50,b'lentil and spinach tagine',"['garlic', 'onion', 'spicy powders', 'tomato']","['ginger', 'carrot', 'potato']",[],5cb0fa253b7750fa415d3045
50,b'lentil meatloaf',"['garlic', 'onion', 'spicy powders']",['carrot'],[],5cb0fa253b7750fa415d3045
50,b'all-american breakfast',"['garlic', 'onion', 'spicy powders']",['ginger'],[],5cb0fa253b7750fa415d3045
45,b'puy lentil & cabbage burger with roasted veggies',"['insoluble fiber', 'garlic', 'onion', 'peppers, hot', 'spicy powders']","['total fiber', 'carrot']",[],5cb0fa253b7750fa415d3043
45,b'zucchini farro soup with seed crumble',"['insoluble fiber', 'garlic', 'onion', 'spicy powders']","['zucchini', 'carrot']",[],5cb0fa253b7750fa415d3043
40,b'carrot osso bucco',"['garlic', 'onion', 'spicy powders', 'tomato']","['carrot', 'potato']",[],5cb0fa253b7750fa415d3045
40,b'golden chickpea stew',"['onion', 'peppers, hot', 'spicy powders', 'tomato']","['ginger', 'potato']",[],5cb0fa253b7750fa415d3045
40,b'baked mac & cheez dinner',"['garlic', 'onion', 'spicy powders', 'tomato']","['green beans', 'potato']",[],5cb0fa253b7750fa415d3045
40,b'mushroom stroganoff',"['garlic', 'onion', 'spicy powders', 'tomato']","['asparagus', 'green beans']",[],5cb0fa253b7750fa415d3045
40,b'paella valenciana',"['garlic', 'onion', 'spicy powders', 'tomato']","['green beans', 'potato']",[],5cb0fa253b7750fa415d3045
35,b'veggie brunch muffin with roasted red pepper sauce',"['insoluble fiber', 'garlic', 'onion', 'spicy powders']",['potato'],[],5cb0fa253b7750fa415d3043
30,"b""chick'n nuggets""","['garlic', 'onion', 'spicy powders', 'tomato']",['potato'],[],5cb0fa253b7750fa415d3045
