5d6566042fb97d420770c672
score,meal,minimize,prior,avoid,supplier_id
150,b'brussels sprouts gratin with toasted pecans',[],"['garlic', 'total fiber', 'shiitake mushroom', 'insoluble fiber', 'mushroom']",[],5cb0fa253b7750fa415d3043
140,b'lunchtime rita with green salsa',[],"['insoluble fiber', 'garlic', 'mushroom', 'total fiber']",[],5cb0fa253b7750fa415d3043
140,b'magic mushroom ragout with herbed quinoa',[],"['insoluble fiber', 'garlic', 'mushroom', 'total fiber']",[],5cb0fa253b7750fa415d3043
130,b'cremini & shiitake mushroom soup with rosemary oat crumble',[],"['total fiber', 'mushroom', 'shiitake mushroom']",[],5cb0fa253b7750fa415d3043
130,"b""chef's harvest lunch with tricolor quinoa""",[],"['milk', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
130,b'herby farro salad',[],"['insoluble fiber', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
130,b'chana masala with indian spiced rice',[],"['insoluble fiber', 'garlic', 'total fiber']",[],5cb0fa253b7750fa415d3043
130,b'eggplant caponata with herbed quinoa',[],"['insoluble fiber', 'garlic', 'total fiber']",[],5cb0fa253b7750fa415d3043
130,b'veggie brunch muffin with roasted red pepper sauce',[],"['insoluble fiber', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
130,"b'white lentil, tomato & fennel faux-sotto'",[],"['milk', 'insoluble fiber', 'garlic']",[],5cb0fa253b7750fa415d3043
130,b'tomato & cannellini bean soup',[],"['insoluble fiber', 'garlic', 'total fiber']",[],5cb0fa253b7750fa415d3043
130,b'carrot osso bucco',[],"['milk', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'shepherdless pie',[],"['milk', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'mushroom stroganoff',[],"['milk', 'garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'stirfry and egg with tofu soup - no.16',[],"['seaweed', 'mushroom', 'chinese chive']",[],5d57124679136a3daf87f6f6
120,b'hippie brunch burrito with green salsa',[],"['insoluble fiber', 'garlic']",[],5cb0fa253b7750fa415d3043
120,b'puy lentil & cabbage burger with roasted veggies',[],"['garlic', 'total fiber']",[],5cb0fa253b7750fa415d3043
120,b'good for you aloo gobi with cardamom rice',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3043
120,b'breakfast bowl with smoky tomato sauce',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
120,b'lunch thyme grain bowl',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
120,b'split pea soup',[],"['insoluble fiber', 'total fiber']",[],5cb0fa253b7750fa415d3043
120,b'cuban black bean soup',[],"['insoluble fiber', 'garlic']",[],5cb0fa253b7750fa415d3043
120,b'tex mex bake',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3043
120,b'chocolate covered strawberry super-food oats',[],"['milk', 'total fiber']",[],5cb0fa253b7750fa415d3044
120,b'potato ranch slaw salad',[],"['garlic', 'total fiber']",[],5cb0fa253b7750fa415d3044
120,b'spaghetti and meatballs',[],"['garlic', 'total fiber']",[],5cb0fa253b7750fa415d3044
120,b'red curry with tofu',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'moroccan melange',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'mushroom risotto',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
120,b'baked mac & cheez dinner',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,"b""southwest bbq chick'n""",[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'spinach pie',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
120,b'portobello steak dinner',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
120,b'black bean pasta alfredo',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'ultimate veggie wrap',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'pasta bolognese',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
120,b'lentil and spinach tagine',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'pad thai',[],"['seaweed', 'milk']",[],5cb0fa253b7750fa415d3045
120,b'omelet primavera',[],"['garlic', 'mushroom']",[],5cb0fa253b7750fa415d3045
120,b'all-american breakfast',[],"['milk', 'garlic']",[],5cb0fa253b7750fa415d3045
120,b'tofu and veggie soup - no.29',[],"['mushroom', 'shiitake mushroom']",[],5d57124679136a3daf87f6f6
120,b'chicken cucumber and mushroom with seaweed salad - no.13 ',[],"['seaweed', 'mushroom']",[],5d57124679136a3daf87f6f6
120,b'pumpkin mushroom soup - no.28',[],"['milk', 'mushroom']",[],5d57124679136a3daf87f6f6
110,b'creamy celeriac soup with rosemary oat crumble',[],['garlic'],[],5cb0fa253b7750fa415d3043
110,b'sweet potato & black bean burger with roasted veggies',[],['total fiber'],[],5cb0fa253b7750fa415d3043
110,b'zucchini farro soup with seed crumble',[],['garlic'],[],5cb0fa253b7750fa415d3043
110,b'veggie heavy spanakopita with chickpea toast and olive and almond crumble',[],['garlic'],[],5cb0fa253b7750fa415d3043
110,b'roasted chickpea & tahini soup',[],['garlic'],[],5cb0fa253b7750fa415d3043
110,b'apple cinnamon mini muffins',[],['milk'],[],5cb0fa253b7750fa415d3044
110,b'wild blueberry super-food oats',[],['milk'],[],5cb0fa253b7750fa415d3044
110,b'sausage biscuits and gravy',[],['garlic'],[],5cb0fa253b7750fa415d3044
110,b'french style vegetable slaw salad',[],['garlic'],[],5cb0fa253b7750fa415d3044
110,b'roasted chickpea & vegetable tacos',[],['garlic'],[],5cb0fa253b7750fa415d3044
110,b'green machine bean burger',[],['garlic'],[],5cb0fa253b7750fa415d3044
110,b'mediterranean falafel',[],['garlic'],[],5cb0fa253b7750fa415d3045
110,"b""creamy italian chick'n""",[],['garlic'],[],5cb0fa253b7750fa415d3045
110,"b""country fried chick'n""",[],['garlic'],[],5cb0fa253b7750fa415d3045
110,b'enchilada casserole',[],['garlic'],[],5cb0fa253b7750fa415d3045
110,b'soba noodles in peanut sauce',[],['garlic'],[],5cb0fa253b7750fa415d3045
110,b'veggie empanadas',[],['garlic'],[],5cb0fa253b7750fa415d3045
110,"b""chick'n quesadilla""",[],['garlic'],[],5cb0fa253b7750fa415d3045
110,"b""thai chick'n stew""",[],['garlic'],[],5cb0fa253b7750fa415d3045
110,b'veggie lasagna',[],['garlic'],[],5cb0fa253b7750fa415d3045
110,b'eggplant casserole',[],['garlic'],[],5cb0fa253b7750fa415d3045
