5d5d779477f06d4208211e53
score,meal,minimize,prior,avoid,supplier_id
160,b'tofu and veggie soup - no.29',[],"['shiitake mushroom', 'komatsuna', 'radish', 'onion', 'burdock', 'mushroom']",[],5d57124679136a3daf87f6f6
150,b'cremini & shiitake mushroom soup with rosemary oat crumble',[],"['shiitake mushroom', 'brussels sprouts', 'flax', 'onion', 'mushroom']",[],5cb0fa253b7750fa415d3043
150,b'perfect pot pie',[],"['broccoli', 'brussels sprouts', 'flax', 'onion', 'cauliflower']",[],5cb0fa253b7750fa415d3043
150,b'brussels sprouts gratin with toasted pecans',[],"['kale', 'shiitake mushroom', 'brussels sprouts', 'onion', 'mushroom']",[],5cb0fa253b7750fa415d3043
150,b'veggie heavy spanakopita with chickpea toast and olive and almond crumble',[],"['spinach', 'brussels sprouts', 'parsley', 'onion', 'cauliflower']",[],5cb0fa253b7750fa415d3043
150,b'stirfry and egg with tofu soup - no.16',[],"['chinese chive', 'seaweed', 'komatsuna', 'onion', 'mushroom']",[],5d57124679136a3daf87f6f6
150,b'saury fish with spinach and radish salad - no.23',[],"['spinach', 'broccoli', 'seaweed', 'radish', 'cauliflower']",[],5d57124679136a3daf87f6f6
140,b'hippie brunch burrito with green salsa',[],"['brussels sprouts', 'onion', 'spinach', 'avocado']",[],5cb0fa253b7750fa415d3043
140,b'lunchtime rita with green salsa',[],"['brussels sprouts', 'spinach', 'mushroom', 'avocado']",[],5cb0fa253b7750fa415d3043
140,b'herby farro salad',[],"['brussels sprouts', 'parsley', 'cabbage', 'mushroom']",[],5cb0fa253b7750fa415d3043
140,b'good for you aloo gobi with cardamom rice',[],"['brussels sprouts', 'onion', 'kale', 'cauliflower']",[],5cb0fa253b7750fa415d3043
140,b'chana masala with indian spiced rice',[],"['brussels sprouts', 'onion', 'spinach', 'cauliflower']",[],5cb0fa253b7750fa415d3043
140,b'magic mushroom ragout with herbed quinoa',[],"['brussels sprouts', 'parsley', 'mushroom', 'kale']",[],5cb0fa253b7750fa415d3043
140,b'eggplant caponata with herbed quinoa',[],"['brussels sprouts', 'onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3043
140,b'veggie brunch muffin with roasted red pepper sauce',[],"['brussels sprouts', 'onion', 'spinach', 'mushroom']",[],5cb0fa253b7750fa415d3043
140,b'lunch thyme grain bowl',[],"['brussels sprouts', 'onion', 'broccoli', 'mushroom']",[],5cb0fa253b7750fa415d3043
140,b'tex mex bake',[],"['brussels sprouts', 'onion', 'mushroom', 'kale']",[],5cb0fa253b7750fa415d3043
140,b'carrot osso bucco',[],"['onion', 'parsley', 'broccoli', 'mushroom']",[],5cb0fa253b7750fa415d3045
140,b'baked mac & cheez dinner',[],"['brussels sprouts', 'onion', 'parsley', 'cauliflower']",[],5cb0fa253b7750fa415d3045
140,b'shepherdless pie',[],"['onion', 'spinach', 'mushroom', 'kale']",[],5cb0fa253b7750fa415d3045
140,b'pasta bolognese',[],"['onion', 'parsley', 'spinach', 'mushroom']",[],5cb0fa253b7750fa415d3045
140,b'pad thai',[],"['seaweed', 'radish', 'kale', 'cauliflower']",[],5cb0fa253b7750fa415d3045
140,b'lentil meatloaf',[],"['onion', 'parsley', 'broccoli', 'cauliflower']",[],5cb0fa253b7750fa415d3045
140,b'chicken cucumber and mushroom with seaweed salad - no.13 ',[],"['seaweed', 'komatsuna', 'cabbage', 'mushroom']",[],5d57124679136a3daf87f6f6
140,b'tofu and veggie soup 2 - no.30',[],"['onion', 'burdock', 'komatsuna', 'radish']",[],5d57124679136a3daf87f6f6
130,b'creamy celeriac soup with rosemary oat crumble',[],"['brussels sprouts', 'flax', 'kale']",[],5cb0fa253b7750fa415d3043
130,b'puy lentil & cabbage burger with roasted veggies',[],"['brussels sprouts', 'onion', 'cabbage']",[],5cb0fa253b7750fa415d3043
130,"b""chef's harvest lunch with tricolor quinoa""",[],"['brussels sprouts', 'mushroom', 'kale']",[],5cb0fa253b7750fa415d3043
130,b'breakfast bowl with smoky tomato sauce',[],"['brussels sprouts', 'onion', 'mushroom']",[],5cb0fa253b7750fa415d3043
130,b'split pea soup',[],"['brussels sprouts', 'onion', 'parsley']",[],5cb0fa253b7750fa415d3043
130,b'roasted chickpea & tahini soup',[],"['brussels sprouts', 'onion', 'spinach']",[],5cb0fa253b7750fa415d3043
130,b'tomato & cannellini bean soup',[],"['brussels sprouts', 'onion', 'spinach']",[],5cb0fa253b7750fa415d3043
130,b'french style vegetable slaw salad',[],"['onion', 'cabbage', 'cauliflower']",[],5cb0fa253b7750fa415d3044
130,b'roasted chickpea & vegetable tacos',[],"['cabbage', 'onion', 'broccoli']",[],5cb0fa253b7750fa415d3044
130,b'spaghetti and meatballs',[],"['onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3044
130,b'very veggie',[],"['parsley', 'spinach', 'avocado']",[],5cb0fa253b7750fa415d3046
130,"b""creamy italian chick'n""",[],"['onion', 'parsley', 'broccoli']",[],5cb0fa253b7750fa415d3045
130,"b""country fried chick'n""",[],"['onion', 'broccoli', 'cauliflower']",[],5cb0fa253b7750fa415d3045
130,b'veggie lasagna',[],"['onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3045
130,b'eggplant casserole',[],"['onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3045
130,b'tuscan calzone',[],"['onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3045
130,b'spinach pie',[],"['parsley', 'spinach', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'portobello steak dinner',[],"['onion', 'mushroom', 'kale']",[],5cb0fa253b7750fa415d3045
130,b'kale and quinoa salad',[],"['onion', 'broccoli', 'kale']",[],5cb0fa253b7750fa415d3045
130,b'mushroom stroganoff',[],"['onion', 'spinach', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'ultimate veggie wrap',[],"['onion', 'spinach', 'cauliflower']",[],5cb0fa253b7750fa415d3045
130,b'spanish torta',[],"['onion', 'parsley', 'spinach']",[],5cb0fa253b7750fa415d3045
130,b'omelet primavera',[],"['onion', 'spinach', 'mushroom']",[],5cb0fa253b7750fa415d3045
130,b'chicken potatoes and beans with broccoli and cauliflower - no.11',[],"['seaweed', 'broccoli', 'cauliflower']",[],5d57124679136a3daf87f6f6
130,b'chicken potatoes and pak choi - no.6',[],"['seaweed', 'onion', 'pak choi']",[],5d57124679136a3daf87f6f6
130,b'pumpkin mushroom soup - no.28',[],"['onion', 'parsley', 'mushroom']",[],5d57124679136a3daf87f6f6
130,b'salt mackerel with potato and cucumber salad - no.20',[],"['onion', 'komatsuna', 'mushroom']",[],5d57124679136a3daf87f6f6
130,b'chicken and tomato rice with radish salad - no.1',[],"['onion', 'komatsuna', 'radish']",[],5d57124679136a3daf87f6f6
130,b'rockfish and lotus with cabbage soup - no.25',[],"['onion', 'komatsuna', 'cabbage']",[],5d57124679136a3daf87f6f6
120,b'sweet potato & black bean burger with roasted veggies',[],"['brussels sprouts', 'onion']",[],5cb0fa253b7750fa415d3043
120,b'zucchini farro soup with seed crumble',[],"['brussels sprouts', 'onion']",[],5cb0fa253b7750fa415d3043
120,b'cuban black bean soup',[],"['brussels sprouts', 'onion']",[],5cb0fa253b7750fa415d3043
120,"b'white lentil, tomato & fennel faux-sotto'",[],"['brussels sprouts', 'onion']",[],5cb0fa253b7750fa415d3043
120,b'detox',[],"['spinach', 'avocado']",[],5cb0fa253b7750fa415d3046
120,b'berry choco-latte',[],"['kale', 'avocado']",[],5cb0fa253b7750fa415d3046
120,b'napa-licious',[],"['spinach', 'avocado']",[],5cb0fa253b7750fa415d3046
120,b'jungle breeze',[],"['spinach', 'avocado']",[],5cb0fa253b7750fa415d3046
